source,model,member,variable,unit,start,end,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,diff_to_era5_min,diff_to_era5_p01,diff_to_era5_p05,diff_to_era5_p95,diff_to_era5_p99,diff_to_era5_max
era5,ERA5,,ta,°C,1979-01-01,2024-12-31,-92.56546020507812,-80.7532958984375,-69.24351501464844,18.867919921875,26.284637451171875,45.6925048828125,0.0,0.0,0.0,0.0,0.0,0.0
model_member,free_run_control,member1,ta,°C,1979-01-01,2024-12-31,-88.93756103515625,-79.36991882324219,-67.7318115234375,19.4337158203125,26.365875244140625,45.01141357421875,-37.897735595703125,-11.46661376953125,-6.016815185546875,6.513702392578125,16.30078125,47.65852355957031
model_member,free_run_control,member2,ta,°C,1979-01-01,2024-12-31,-90.96351623535156,-79.73011779785156,-66.76338195800781,19.781036376953125,26.56683349609375,46.186126708984375,-28.877792358398438,-7.4939727783203125,-4.186004638671875,9.186080932617188,18.538223266601562,46.740386962890625
model_member,free_run_control,member3,ta,°C,1979-01-01,2024-12-31,-89.13449096679688,-79.0298371887207,-67.46809387207031,19.752593994140625,26.239532470703125,45.102783203125,-28.132354736328125,-9.227081298828125,-4.6814727783203125,9.840972900390625,19.489761352539062,53.97468566894531
model_member,free_run_control,member4,ta,°C,1979-01-01,2024-12-31,-89.28871154785156,-79.44123840332031,-67.59114074707031,19.736968994140625,26.234100341796875,45.532470703125,-29.522415161132812,-10.548873901367188,-5.241180419921875,9.41168212890625,18.321701049804688,50.6007080078125
model_member,free_run_control,member5,ta,°C,1979-01-01,2024-12-31,-90.73452758789062,-79.92263793945312,-67.22245788574219,19.827545166015625,26.34124755859375,45.51007080078125,-23.784317016601562,-9.65193801879883,-5.2868194580078125,8.2947998046875,18.623428344726562,50.666595458984375
model_member,free_run_prediction,member1,ta,°C,1979-01-01,2024-12-31,-88.57154846191406,-79.54788223266601,-68.10997085571289,19.315185546875,26.27655029296875,43.851470947265625,-41.8660888671875,-12.198974609375,-6.022186279296875,5.3361663818359375,15.109115600585938,45.84495544433594
model_member,free_run_prediction,member2,ta,°C,1979-01-01,2024-12-31,-89.65013122558594,-79.67904663085938,-66.97944641113281,19.647857666015625,26.497039794921875,45.693206787109375,-28.919586181640625,-7.0297393798828125,-4.1970062255859375,7.708404541015625,17.067901763916097,43.68434143066406
model_member,free_run_prediction,member3,ta,°C,1979-01-01,2024-12-31,-88.77397155761719,-78.91893005371094,-67.43423461914062,19.6605224609375,26.19219970703125,44.9136962890625,-26.826339721679688,-8.521286010742188,-4.4981536865234375,9.016845703125,18.484924468994222,54.837646484375
model_member,free_run_prediction,member4,ta,°C,1979-01-01,2024-12-31,-89.22071838378906,-79.4144287109375,-67.76722717285156,19.595399475097565,26.141876220703125,44.97479248046875,-28.213623046875,-9.973312377929688,-5.089019775390625,8.456390380859375,17.135833740234375,46.86195373535156
model_member,free_run_prediction,member5,ta,°C,1979-01-01,2024-12-31,-90.30511474609375,-80.05194091796875,-67.47952270507812,19.699462890625,26.253936767578125,45.57470703125,-24.10650634765625,-9.469482421875,-5.32415771484375,7.26220703125,18.219528198242188,49.551177978515625
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,ta,°C,1979-01-01,2024-12-31,-90.96351623535156,-80.05194091796875,-68.10997085571289,19.827545166015625,26.56683349609375,46.186126708984375,-41.8660888671875,-12.198974609375,-6.022186279296875,9.840972900390625,19.489761352539062,54.837646484375
