source,model,member,variable,unit,start,end,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,diff_to_era5_min,diff_to_era5_p01,diff_to_era5_p05,diff_to_era5_p95,diff_to_era5_p99,diff_to_era5_max
era5,ERA5,,ta,°C,1979-01-01,2024-12-31,-92.56546020507812,-80.7532958984375,-69.24351501464844,18.867919921875,26.284637451171875,45.6925048828125,0.0,0.0,0.0,0.0,0.0,0.0
model_member,forced_sst_2k,member1,ta,°C,1979-01-01,2024-12-31,-91.53437805175781,-79.43106079101562,-68.60865783691406,20.16473388671875,27.50848388671875,46.1375732421875,-43.319091796875,-9.1864013671875,-4.7877044677734375,4.285980224609375,7.25,35.00132751464844
model_member,forced_sst_2k,member2,ta,°C,1979-01-01,2024-12-31,-91.47998046875,-79.40536499023438,-68.55940246582031,20.16204833984375,27.506561279296875,46.730316162109375,-38.4356689453125,-9.250701904296875,-4.785400390625,4.3114166259765625,7.300689697265625,31.73052978515625
model_member,forced_sst_2k,member3,ta,°C,1979-01-01,2024-12-31,-91.29112243652344,-79.40226745605469,-68.58317565917969,20.16424560546875,27.498779296875,46.46075439453125,-38.27598571777344,-9.194839477539062,-4.8221893310546875,4.340911865234375,7.48394775390625,34.29058837890625
model_member,forced_sst_2k,member4,ta,°C,1979-01-01,2024-12-31,-91.11622619628906,-79.426513671875,-68.61947631835938,20.17401123046875,27.516510009765625,46.902679443359375,-34.92060852050781,-9.270431518554688,-4.7904510498046875,4.342376708984375,7.309478759765625,34.35734558105469
model_member,forced_sst_2k,member5,ta,°C,1979-01-01,2024-12-31,-91.29986572265625,-79.38818359375,-68.61714172363281,20.16204833984375,27.49725341796875,45.72845458984375,-42.239654541015625,-9.26460891723633,-4.8392791748046875,4.30865478515625,7.2539825439453125,34.95782470703125
model_member,forced_sst_4k,member1,ta,°C,1979-01-01,2024-12-31,-91.03753662109375,-78.59541320800781,-68.85855102539062,21.599212646484375,28.879150390625,48.04425048828125,-41.53526306152344,-9.530380249023438,-4.8492431640625,5.89971923828125,8.92254638671875,37.78999328613281
model_member,forced_sst_4k,member2,ta,°C,1979-01-01,2024-12-31,-90.82026672363281,-78.59564208984375,-68.89993286132812,21.5972900390625,28.878814697265625,48.312469482421875,-37.354095458984375,-9.68853759765625,-4.9210205078125,5.8861083984375,8.902679443359375,41.298095703125
model_member,forced_sst_4k,member3,ta,°C,1979-01-01,2024-12-31,-90.43832397460938,-78.61164855957031,-68.89361572265625,21.5966796875,28.880523681640625,47.70196533203125,-37.42066955566406,-9.80279541015625,-4.921661376953125,5.906280517578125,8.972381591796875,35.03375244140625
model_member,forced_sst_4k,member4,ta,°C,1979-01-01,2024-12-31,-90.91099548339844,-78.6112060546875,-68.90524291992188,21.59637451171875,28.8792724609375,48.62554931640625,-39.6751708984375,-9.777740478515625,-4.9084320068359375,5.8971710205078125,8.920630035399881,40.23411560058594
model_member,forced_sst_4k,member5,ta,°C,1979-01-01,2024-12-31,-90.63600158691406,-78.61819458007812,-68.8330078125,21.594085693359375,28.877838134765625,47.769073486328125,-41.102569580078125,-9.6663818359375,-4.8568878173828125,5.9237060546875,8.991226196289062,33.95526123046875
model_member,forced_sst,member1,ta,°C,1979-01-01,2024-12-31,-91.42350769042969,-80.78733825683594,-70.31771850585938,18.86572265625,26.19183349609375,45.75042724609375,-44.348419189453125,-10.539535522460938,-5.3504638671875,3.8411407470703125,7.334014892578125,25.05133056640625
model_member,forced_sst,member2,ta,°C,1979-01-01,2024-12-31,-91.69036865234375,-80.8006591796875,-70.24227905273438,18.869659423828125,26.201886291502888,45.862518310546875,-45.064300537109375,-10.30108642578125,-5.35150146484375,3.8777313232421875,7.259796142578125,24.803298950195312
model_member,forced_sst,member3,ta,°C,1979-01-01,2024-12-31,-91.88192749023438,-80.79005432128906,-70.23493957519531,18.864013671875,26.195587158203125,45.742340087890625,-46.59698486328125,-10.49273681640625,-5.2964324951171875,3.847747802734375,7.242584228515625,26.018585205078125
model_member,forced_sst,member4,ta,°C,1979-01-01,2024-12-31,-91.5870361328125,-80.78692626953125,-70.14384460449219,18.850311279296875,26.184844970703125,46.507568359375,-46.894775390625,-9.996200561523438,-5.1902923583984375,3.7946929931640625,7.183349609375,29.099090576171875
model_member,forced_sst,member5,ta,°C,1979-01-01,2024-12-31,-91.80801391601562,-80.72804260253906,-70.11431884765625,18.833465576171875,26.172497863768513,45.534271240234375,-44.57438659667969,-10.3958740234375,-5.3140716552734375,3.8010101318359375,7.210784912109375,26.325286865234375
model_member,archesweather,member1,ta,°C,1979-01-01,2024-12-31,-91.65046691894531,-80.8143310546875,-69.72154235839844,18.826690673828125,26.168853759765625,45.341217041015625,-43.345977783203125,-9.178009033203125,-5.020782470703125,3.7232666015625,6.9149627685546875,35.19798278808594
model_member,archesweather,member2,ta,°C,1979-01-01,2024-12-31,-91.81651306152344,-80.90869140625,-69.91944885253906,18.857421875,26.191375732421875,45.446258544921875,-42.551239013671875,-9.529937744140625,-5.1002960205078125,3.76385498046875,6.9517059326171875,30.716201782226562
model_member,archesweather,member3,ta,°C,1979-01-01,2024-12-31,-91.67085266113281,-80.92329406738281,-69.92237854003906,18.85504150390625,26.190032958984375,47.36163330078125,-43.54222106933594,-9.525726318359375,-5.110870361328125,3.7173614501953125,6.8800048828125,26.776748657226562
model_member,archesweather,member4,ta,°C,1979-01-01,2024-12-31,-91.80323791503906,-80.89512634277344,-69.88320922851562,18.845458984375,26.185211181640625,46.0430908203125,-43.206024169921875,-9.549774169921875,-5.13519287109375,3.8021392822265625,7.0598297119140625,32.14726257324219
model_member,archesweather,member5,ta,°C,1979-01-01,2024-12-31,-91.98306274414062,-80.6630859375,-69.59379577636719,18.79534912109375,26.13970947265625,46.392242431640625,-42.42463684082031,-9.157608032226562,-4.9618377685546875,3.69384765625,6.8760528564453125,33.78904724121094
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,ta,°C,1979-01-01,2024-12-31,-91.98306274414062,-80.92329406738281,-70.31771850585938,21.599212646484375,28.880523681640625,48.62554931640625,-46.894775390625,-10.539535522460938,-5.35150146484375,5.9237060546875,8.991226196289062,41.298095703125
era5,ERA5,,ua,,1979-01-01,2024-12-31,-43.52061462402344,-12.910888671875,-7.125602722167969,29.780628204345703,41.66902160644531,91.22898864746094,0.0,0.0,0.0,0.0,0.0,0.0
model_member,forced_sst_2k,member1,ua,,1979-01-01,2024-12-31,-40.941062927246094,-10.600455284118652,-6.407132148742676,31.051231384277344,43.189266204833984,94.43810272216797,-60.57002258300781,-13.384167499542237,-7.801998138427734,9.527837753295898,15.633903503417969,51.50883483886719
model_member,forced_sst_2k,member2,ua,,1979-01-01,2024-12-31,-41.336456298828125,-10.696083068847656,-6.425661087036133,30.98987579345703,43.082971229553095,93.85893249511719,-46.326438903808594,-13.536002550125122,-7.913309097290039,9.533939361572266,15.542457580566406,51.73290252685547
