source,model,member,variable,unit,start,end,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,diff_to_era5_min,diff_to_era5_p01,diff_to_era5_p05,diff_to_era5_p95,diff_to_era5_p99,diff_to_era5_max
era5,ERA5,,ta,°C,1979-01-01,2024-12-31,-92.56546020507812,-80.7532958984375,-69.24351501464844,18.867919921875,26.284637451171875,45.6925048828125,0.0,0.0,0.0,0.0,0.0,0.0
model_member,forced_sst,member1,ta,°C,1979-01-01,2024-12-31,-91.42350769042969,-80.78733825683594,-70.31771850585938,18.86572265625,26.19183349609375,45.75042724609375,-44.348419189453125,-10.539535522460938,-5.3504638671875,3.8411407470703125,7.334014892578125,25.05133056640625
model_member,forced_sst,member2,ta,°C,1979-01-01,2024-12-31,-91.69036865234375,-80.8006591796875,-70.24227905273438,18.869659423828125,26.201886291502888,45.862518310546875,-45.064300537109375,-10.30108642578125,-5.35150146484375,3.8777313232421875,7.259796142578125,24.803298950195312
model_member,forced_sst,member3,ta,°C,1979-01-01,2024-12-31,-91.88192749023438,-80.79005432128906,-70.23493957519531,18.864013671875,26.195587158203125,45.742340087890625,-46.59698486328125,-10.49273681640625,-5.2964324951171875,3.847747802734375,7.242584228515625,26.018585205078125
model_member,forced_sst,member4,ta,°C,1979-01-01,2024-12-31,-91.5870361328125,-80.78692626953125,-70.14384460449219,18.850311279296875,26.184844970703125,46.507568359375,-46.894775390625,-9.996200561523438,-5.1902923583984375,3.7946929931640625,7.183349609375,29.099090576171875
model_member,forced_sst,member5,ta,°C,1979-01-01,2024-12-31,-91.80801391601562,-80.72804260253906,-70.11431884765625,18.833465576171875,26.172497863768513,45.534271240234375,-44.57438659667969,-10.3958740234375,-5.3140716552734375,3.8010101318359375,7.210784912109375,26.325286865234375
model_member,archesweather,member1,ta,°C,1979-01-01,2024-12-31,-91.65046691894531,-80.8143310546875,-69.72154235839844,18.826690673828125,26.168853759765625,45.341217041015625,-43.345977783203125,-9.178009033203125,-5.020782470703125,3.7232666015625,6.9149627685546875,35.19798278808594
model_member,archesweather,member2,ta,°C,1979-01-01,2024-12-31,-91.81651306152344,-80.90869140625,-69.91944885253906,18.857421875,26.191375732421875,45.446258544921875,-42.551239013671875,-9.529937744140625,-5.1002960205078125,3.76385498046875,6.9517059326171875,30.716201782226562
model_member,archesweather,member3,ta,°C,1979-01-01,2024-12-31,-91.67085266113281,-80.92329406738281,-69.92237854003906,18.85504150390625,26.190032958984375,47.36163330078125,-43.54222106933594,-9.525726318359375,-5.110870361328125,3.7173614501953125,6.8800048828125,26.776748657226562
model_member,archesweather,member4,ta,°C,1979-01-01,2024-12-31,-91.80323791503906,-80.89512634277344,-69.88320922851562,18.845458984375,26.185211181640625,46.0430908203125,-43.206024169921875,-9.549774169921875,-5.13519287109375,3.8021392822265625,7.0598297119140625,32.14726257324219
model_member,archesweather,member5,ta,°C,1979-01-01,2024-12-31,-91.98306274414062,-80.6630859375,-69.59379577636719,18.79534912109375,26.13970947265625,46.392242431640625,-42.42463684082031,-9.157608032226562,-4.9618377685546875,3.69384765625,6.8760528564453125,33.78904724121094
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,ta,°C,1979-01-01,2024-12-31,-91.98306274414062,-80.92329406738281,-70.31771850585938,18.869659423828125,26.201886291502888,47.36163330078125,-46.894775390625,-10.539535522460938,-5.35150146484375,3.8777313232421875,7.334014892578125,35.19798278808594
era5,ERA5,,ua,,1979-01-01,2024-12-31,-43.52061462402344,-12.910888671875,-7.125602722167969,29.780628204345703,41.66902160644531,91.22898864746094,0.0,0.0,0.0,0.0,0.0,0.0
model_member,forced_sst,member1,ua,,1979-01-01,2024-12-31,-44.470802307128906,-13.181463241577148,-7.449171566963194,30.528400421142578,41.89683151245117,88.27267456054688,-49.76713562011719,-14.89366340637207,-8.771427202224729,9.405298233032227,16.340134449005063,50.898494720458984
model_member,forced_sst,member2,ua,,1979-01-01,2024-12-31,-43.20686721801758,-13.175544567108155,-7.472822666168213,30.404834747314453,41.73143005371094,90.84075927734375,-56.81731414794922,-14.93685531616211,-8.815082550048828,9.326242446899414,16.130596942901548,49.70167541503906
model_member,forced_sst,member3,ua,,1979-01-01,2024-12-31,-43.62587356567383,-13.114907655715943,-7.435181140899658,30.43791961669922,41.70344543457031,89.23947143554688,-53.76316833496094,-14.900581188201905,-8.787378311157227,9.3651123046875,16.239871978759766,49.85920715332031
model_member,forced_sst,member4,ua,,1979-01-01,2024-12-31,-42.708553314208984,-13.100266456604004,-7.383219242095947,30.343996047973633,41.82197189331055,87.2071304321289,-55.26430130004883,-14.825432214736939,-8.701377868652344,9.187936782836914,15.919410705566406,50.053924560546875
model_member,forced_sst,member5,ua,,1979-01-01,2024-12-31,-42.87397003173828,-12.79383373260498,-7.351602077484131,30.413818359375,41.745399475097656,85.99864196777344,-49.96675109863281,-14.769819478988648,-8.716011095046994,9.281841278076172,16.02536661148065,59.276954650878906
model_member,archesweather,member1,ua,,1979-01-01,2024-12-31,-41.725955963134766,-12.048630714416504,-7.229634761810303,30.669876098632812,42.10506820678711,89.49208068847656,-56.21875,-14.24409372329712,-8.416618347167969,9.254571914672852,15.607423439025752,49.009033203125
model_member,archesweather,member2,ua,,1979-01-01,2024-12-31,-42.14487838745117,-12.346311569213867,-7.3311638832092285,30.70399284362793,42.077693939208984,90.3749008178711,-55.187721252441406,-14.421839151382446,-8.527692794799805,9.273239135742188,15.722278594970703,51.08356475830078
model_member,archesweather,member3,ua,,1979-01-01,2024-12-31,-42.803794860839844,-12.325863275527954,-7.326000690460205,30.766948699951172,42.17714309692383,89.3993911743164,-50.505950927734375,-14.317047510147095,-8.485593795776367,9.321248102188065,15.623402986526457,49.703575134277344
model_member,archesweather,member4,ua,,1979-01-01,2024-12-31,-43.02742385864258,-12.287619981765747,-7.304624557495117,30.68716049194336,42.0081901550293,89.32125854492188,-47.52230453491211,-14.548306856155396,-8.579051971435547,9.368585586547852,15.79809267044061,52.936195373535156
model_member,archesweather,member5,ua,,1979-01-01,2024-12-31,-43.375282287597656,-11.9741792678833,-7.204105377197266,30.581233978271484,42.068138122558594,92.67131805419922,-48.317832946777344,-14.159260578155518,-8.421804428100586,9.148051261901855,15.46042251586914,50.97807312011719
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,ua,,1979-01-01,2024-12-31,-44.470802307128906,-13.181463241577148,-7.472822666168213,30.766948699951172,42.17714309692383,92.67131805419922,-56.81731414794922,-14.93685531616211,-8.815082550048828,9.405298233032227,16.340134449005063,59.276954650878906
era5,ERA5,,va,,1979-01-01,2024-12-31,-43.47230529785156,-10.121699600219728,-6.1082305908203125,6.28472900390625,10.422485742568938,44.54136657714844,0.0,0.0,0.0,0.0,0.0,0.0
model_member,forced_sst,member1,va,,1979-01-01,2024-12-31,-39.0211181640625,-10.174766540527344,-6.098866939544678,6.243727684020996,10.55918025970459,37.425472259521484,-46.54247283935547,-11.220518112182617,-6.447115898132324,6.372482776641846,11.094064149856536,40.52726745605469
model_member,forced_sst,member2,va,,1979-01-01,2024-12-31,-39.250579833984375,-10.054808616638184,-6.0651293039321885,6.20363333225248,10.474997520446777,36.16968536376953,-43.901405334472656,-11.199399948120117,-6.461620330810547,6.388550758361816,11.091429538726743,41.76222610473633
