source,model,member,variable,unit,start,end,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,diff_to_era5_min,diff_to_era5_p01,diff_to_era5_p05,diff_to_era5_p95,diff_to_era5_p99,diff_to_era5_max
era5,ERA5,,ta,°C,1979-01-01,2024-12-31,-92.56546020507812,-80.7532958984375,-69.24351501464844,18.867919921875,26.284637451171875,45.6925048828125,0.0,0.0,0.0,0.0,0.0,0.0
model_member,forced_sst_2k,member1,ta,°C,1979-01-01,2024-12-31,-91.53437805175781,-79.43106079101562,-68.60865783691406,20.16473388671875,27.50848388671875,46.1375732421875,-43.319091796875,-9.1864013671875,-4.7877044677734375,4.285980224609375,7.25,35.00132751464844
model_member,forced_sst_2k,member2,ta,°C,1979-01-01,2024-12-31,-91.47998046875,-79.40536499023438,-68.55940246582031,20.16204833984375,27.506561279296875,46.730316162109375,-38.4356689453125,-9.250701904296875,-4.785400390625,4.3114166259765625,7.300689697265625,31.73052978515625
model_member,forced_sst_2k,member3,ta,°C,1979-01-01,2024-12-31,-91.29112243652344,-79.40226745605469,-68.58317565917969,20.16424560546875,27.498779296875,46.46075439453125,-38.27598571777344,-9.194839477539062,-4.8221893310546875,4.340911865234375,7.48394775390625,34.29058837890625
model_member,forced_sst_2k,member4,ta,°C,1979-01-01,2024-12-31,-91.11622619628906,-79.426513671875,-68.61947631835938,20.17401123046875,27.516510009765625,46.902679443359375,-34.92060852050781,-9.270431518554688,-4.7904510498046875,4.342376708984375,7.309478759765625,34.35734558105469
model_member,forced_sst_2k,member5,ta,°C,1979-01-01,2024-12-31,-91.29986572265625,-79.38818359375,-68.61714172363281,20.16204833984375,27.49725341796875,45.72845458984375,-42.239654541015625,-9.26460891723633,-4.8392791748046875,4.30865478515625,7.2539825439453125,34.95782470703125
model_member,forced_sst_4k,member1,ta,°C,1979-01-01,2024-12-31,-91.03753662109375,-78.59541320800781,-68.85855102539062,21.599212646484375,28.879150390625,48.04425048828125,-41.53526306152344,-9.530380249023438,-4.8492431640625,5.89971923828125,8.92254638671875,37.78999328613281
model_member,forced_sst_4k,member2,ta,°C,1979-01-01,2024-12-31,-90.82026672363281,-78.59564208984375,-68.89993286132812,21.5972900390625,28.878814697265625,48.312469482421875,-37.354095458984375,-9.68853759765625,-4.9210205078125,5.8861083984375,8.902679443359375,41.298095703125
model_member,forced_sst_4k,member3,ta,°C,1979-01-01,2024-12-31,-90.43832397460938,-78.61164855957031,-68.89361572265625,21.5966796875,28.880523681640625,47.70196533203125,-37.42066955566406,-9.80279541015625,-4.921661376953125,5.906280517578125,8.972381591796875,35.03375244140625
model_member,forced_sst_4k,member4,ta,°C,1979-01-01,2024-12-31,-90.91099548339844,-78.6112060546875,-68.90524291992188,21.59637451171875,28.8792724609375,48.62554931640625,-39.6751708984375,-9.777740478515625,-4.9084320068359375,5.8971710205078125,8.920630035399881,40.23411560058594
model_member,forced_sst_4k,member5,ta,°C,1979-01-01,2024-12-31,-90.63600158691406,-78.61819458007812,-68.8330078125,21.594085693359375,28.877838134765625,47.769073486328125,-41.102569580078125,-9.6663818359375,-4.8568878173828125,5.9237060546875,8.991226196289062,33.95526123046875
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,ta,°C,1979-01-01,2024-12-31,-91.53437805175781,-79.43106079101562,-68.90524291992188,21.599212646484375,28.880523681640625,48.62554931640625,-43.319091796875,-9.80279541015625,-4.921661376953125,5.9237060546875,8.991226196289062,41.298095703125
era5,ERA5,,ua,,1979-01-01,2024-12-31,-43.52061462402344,-12.910888671875,-7.125602722167969,29.780628204345703,41.66902160644531,91.22898864746094,0.0,0.0,0.0,0.0,0.0,0.0
model_member,forced_sst_2k,member1,ua,,1979-01-01,2024-12-31,-40.941062927246094,-10.600455284118652,-6.407132148742676,31.051231384277344,43.189266204833984,94.43810272216797,-60.57002258300781,-13.384167499542237,-7.801998138427734,9.527837753295898,15.633903503417969,51.50883483886719
model_member,forced_sst_2k,member2,ua,,1979-01-01,2024-12-31,-41.336456298828125,-10.696083068847656,-6.425661087036133,30.98987579345703,43.082971229553095,93.85893249511719,-46.326438903808594,-13.536002550125122,-7.913309097290039,9.533939361572266,15.542457580566406,51.73290252685547
model_member,forced_sst_2k,member3,ua,,1979-01-01,2024-12-31,-39.68217086791992,-10.643240585327149,-6.4050750732421875,30.982383823394684,43.10371936798083,91.54298400878906,-49.16178512573242,-13.559757232666016,-7.913213753700255,9.508310317993164,15.576719675064055,46.87792205810547
model_member,forced_sst_2k,member4,ua,,1979-01-01,2024-12-31,-40.60799789428711,-10.645355443954468,-6.430136680603027,31.014001846313477,43.12049102783203,93.4352035522461,-55.59429168701172,-13.655787858963013,-7.94671630859375,9.552654266357422,15.720294952392578,53.864036560058594
model_member,forced_sst_2k,member5,ua,,1979-01-01,2024-12-31,-40.166996002197266,-10.658602714538574,-6.4144792556762695,31.003055572509766,43.021907806396484,94.71351623535156,-46.160423278808594,-13.520212955474854,-7.897830963134766,9.550032615661621,15.547915287017759,63.223106384277344
model_member,forced_sst_4k,member1,ua,,1979-01-01,2024-12-31,-38.1216926574707,-10.245458431243897,-6.281338214874268,31.49818811416617,43.46510089874255,93.7996826171875,-56.8011474609375,-14.00291633605957,-8.112728118896484,10.29958724975586,16.459312438964844,52.7386474609375
model_member,forced_sst_4k,member2,ua,,1979-01-01,2024-12-31,-40.06655502319336,-10.257030878067017,-6.29257345199585,31.522920608520508,43.46300662994372,98.20270538330078,-53.58563995361328,-13.951021976470948,-8.103303909301758,10.280506134033203,16.441234588623047,49.8135986328125
model_member,forced_sst_4k,member3,ua,,1979-01-01,2024-12-31,-37.77376174926758,-10.285914421081543,-6.300448417663574,31.51854705810547,43.43288803100586,94.6933364868164,-56.793663024902344,-14.005132112503052,-8.164469718933105,10.344217300415039,16.46583366394043,47.85484313964844
model_member,forced_sst_4k,member4,ua,,1979-01-01,2024-12-31,-38.04780578613281,-10.229777727127075,-6.271765732765196,31.47239112854004,43.34894718170153,92.1315689086914,-49.615116119384766,-13.966785650253296,-8.132440567016602,10.334592819213867,16.473861694335938,50.96162796020508
model_member,forced_sst_4k,member5,ua,,1979-01-01,2024-12-31,-38.73285675048828,-10.26919213294983,-6.297956967353819,31.501895904541016,43.48046112060547,91.98985290527344,-53.53242111206055,-14.022348403930664,-8.138755798339844,10.277109146118164,16.432437896728516,52.93859100341797
models_all_members_combined,ALL_SELECTED_MODELS,ALL_SELECTED_MEMBERS,ua,,1979-01-01,2024-12-31,-41.336456298828125,-10.696083068847656,-6.430136680603027,31.522920608520508,43.48046112060547,98.20270538330078,-60.57002258300781,-14.022348403930664,-8.164469718933105,10.344217300415039,16.473861694335938,63.223106384277344
era5,ERA5,,va,,1979-01-01,2024-12-31,-43.47230529785156,-10.121699600219728,-6.1082305908203125,6.28472900390625,10.422485742568938,44.54136657714844,0.0,0.0,0.0,0.0,0.0,0.0
