var,plev_pa,plev_hpa,global_mean_min,global_mean_mean,global_mean_max,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,spatial_min,spatial_p01,spatial_p05,spatial_p95,spatial_p99,spatial_max,temporal_min,temporal_p01,temporal_p05,temporal_p95,temporal_p99,temporal_max,slope_mean_min,slope_mean_mean,slope_mean_max,slope_min,slope_p01,slope_p05,slope_p95,slope_p99,slope_max,raw_detrended0_min,raw_detrended0_p01,raw_detrended0_p05,raw_detrended0_p95,raw_detrended0_p99,raw_detrended0_max,temporal_detrended0_min,temporal_detrended0_p01,temporal_detrended0_p05,temporal_detrended0_p95,temporal_detrended0_p99,temporal_detrended0_max,spatial_detrended0_min,spatial_detrended0_p01,spatial_detrended0_p05,spatial_detrended0_p95,spatial_detrended0_p99,spatial_detrended0_max,slope_mean_detrended0_min,slope_mean_detrended0_mean,slope_mean_detrended0_max,slope_detrended0_min,slope_detrended0_p01,slope_detrended0_p05,slope_detrended0_p95,slope_detrended0_p99,slope_detrended0_max,raw_detrended1_min,raw_detrended1_p01,raw_detrended1_p05,raw_detrended1_p95,raw_detrended1_p99,raw_detrended1_max,temporal_detrended1_min,temporal_detrended1_p01,temporal_detrended1_p05,temporal_detrended1_p95,temporal_detrended1_p99,temporal_detrended1_max,spatial_detrended1_min,spatial_detrended1_p01,spatial_detrended1_p05,spatial_detrended1_p95,spatial_detrended1_p99,spatial_detrended1_max,slope_mean_detrended1_min,slope_mean_detrended1_mean,slope_mean_detrended1_max,slope_detrended1_min,slope_detrended1_p01,slope_detrended1_p05,slope_detrended1_p95,slope_detrended1_p99,slope_detrended1_max
hus,5000.0,50.0,-1.3089239725639897e-06,-1.1389443546045905e-06,-7.854002868243729e-07,-2.8076060516468715e-06,-2.1726566501456546e-06,-1.876322244243056e-06,6.081166930016479e-07,1.5993020952009829e-06,2.275814495078521e-06,-1.836004349966294e-06,-1.715228427930896e-06,-1.6168380310787177e-06,-5.4917521434851e-08,1.1761503521817965e-07,1.672247416392137e-07,-1.863531338130997e-06,-1.6729519529690151e-06,-1.5798607364558848e-06,4.375953324142756e-07,5.038584163230553e-07,5.699459393326833e-07,-8.622695424897235e-07,-3.8937026391867007e-07,-1.9956927012933857e-08,-1.63306649480303e-06,-1.4976933693662626e-06,-1.3397987625135298e-06,5.1167215566563295e-08,7.283634289617626e-08,9.202802907835083e-08,-2.0513632076966825e-06,-1.3405138924484668e-06,-7.709988579670039e-07,8.790302203949695e-07,1.947119342356644e-06,2.8954802488452203e-06,-3.674819863472503e-21,-1.866730302987362e-21,-1.38131526783009e-21,1.0202550004315309e-21,1.4891068140554154e-21,2.8473338303856096e-21,-5.962984510268632e-07,-5.352811362300517e-07,-3.865496805713817e-07,6.435949677512585e-07,1.0222255558905285e-06,1.203378524416961e-06,9.941607187708424e-14,1.827255780867835e-11,4.696485067310521e-11,-5.8078335433699736e-11,-3.2777123827316027e-11,-1.896799673500441e-11,8.712318803003893e-11,9.322472596538332e-11,1.024057045913298e-10,-2.8392239491744937e-06,-2.1738196334675963e-06,-1.8811755942497685e-06,5.641200914753599e-07,1.6054211553793315e-06,2.342506372423512e-06,-1.863530428636296e-06,-1.6729522167224793e-06,-1.5798614356299368e-06,4.375944286039157e-07,5.038580684413315e-07,5.699455414287505e-07,-1.884591193202297e-06,-1.7517525823614404e-06,-1.6342506068288418e-06,-4.0117180565782317e-07,8.106879064752258e-09,5.4495130691136356e-08,9.94160718835393e-14,1.8272557808668893e-11,4.6964850673074907e-11,-5.8078335433768314e-11,-3.277712382738299e-11,-1.8967996735060532e-11,8.712318802993179e-11,9.322472596538531e-11,1.0240570459127245e-10
hus,10000.0,100.0,-7.450731043561152e-07,-5.401265704099477e-07,-3.790668651022658e-07,-4.20146625401685e-06,-1.940827360158437e-06,-1.5658015399822034e-06,4.307474057441141e-07,1.0264925549563486e-06,3.386143816896947e-06,-1.2068669915294537e-06,-1.1097142599080751e-06,-1.0227574972679371e-06,4.2009944357921646e-08,4.904663224224301e-07,5.331786482952721e-07,-1.6645198002152028e-06,-1.3327422720976756e-06,-1.2281918770895572e-06,1.912149372174099e-07,4.272795592896728e-07,1.304459260609292e-06,-5.339133664073057e-07,-2.3297909337269815e-07,-1.2197564188176222e-08,-9.376153587268676e-07,-9.066607259434848e-07,-8.709522838295997e-07,6.234582480891655e-08,7.852434184906732e-08,1.9072554300234138e-07,-2.8101155991780704e-06,-9.49271332008976e-07,-6.295638956126964e-07,7.234959829235934e-07,1.1258438525815598e-06,3.200384466239357e-06,-3.955109698755891e-21,-1.6986594193379408e-21,-1.2542603257419448e-21,1.0530679884783193e-21,1.5574722931045289e-21,3.1790443768120857e-21,-6.798617793732744e-07,-4.986472735567934e-07,-3.7379776815617353e-07,3.880334535934818e-07,6.996519590977637e-07,8.743024141674113e-07,-2.1759836877600218e-12,1.2136974685123792e-12,1.2161891604457988e-11,-1.1822464794354588e-10,-8.765226999045786e-11,-5.4110628450622434e-11,6.169072652639089e-11,7.529230159719529e-11,1.0684403818873107e-10,-4.117667229330705e-06,-1.9365128617608926e-06,-1.5639762734272553e-06,4.286959425171218e-07,9.3460086477531e-07,3.309277093481628e-06,-1.6645200275888791e-06,-1.332742725139725e-06,-1.2281908595923593e-06,1.9121687273582125e-07,4.272801061233625e-07,1.3044596016698062e-06,-1.1790697620383323e-06,-1.120782784883138e-06,-9.8658960778026e-07,-2.5802647122484554e-08,2.7009600679710177e-07,4.659332854645309e-07,-2.1759836877781216e-12,1.2136974685073242e-12,1.2161891604446272e-11,-1.1822464794351957e-10,-8.765226999047244e-11,-5.411062845057669e-11,6.169072652640279e-11,7.529230159720672e-11,1.0684403818884966e-10
hus,15000.0,150.0,-7.067323046077966e-07,-2.1614569059451106e-07,2.757991478093745e-07,-2.36775740631856e-05,-5.53086465515662e-06,-3.346571247675456e-06,3.4125378078897484e-06,5.973140105197672e-06,2.6292882466805167e-05,-2.203891750700042e-06,-2.0925488373446504e-06,-1.870443247117636e-06,1.004973627513567e-06,1.347890010678054e-06,1.4926424549100403e-06,-6.28293901172583e-06,-3.835780717054149e-06,-2.550548742874525e-06,2.018079612753354e-06,3.211481498510693e-06,6.0329434745654e-06,-5.880760179633965e-07,-2.50430490087946e-07,-1.1739586210402986e-07,-3.4466987780141403e-06,-1.9886253258328047e-06,-1.301618904955468e-06,9.27795370589169e-07,1.4299535833721352e-06,2.439741704498361e-06,-2.4002912758201407e-05,-3.696654176414388e-06,-2.1374920409100782e-06,2.4306292938726323e-06,4.554435988343932e-06,2.3409566262025767e-05,-1.2319369279705787e-20,-4.780012956397241e-21,-2.683034092383892e-21,2.554834511177836e-21,4.602975439493639e-21,1.2627658748796542e-20,-1.7065500654990497e-06,-1.4319285854958144e-06,-1.2564384747249397e-06,1.0200164298238462e-06,1.1714699953048417e-06,1.4502747397074816e-06,-1.3022038610084466e-10,-6.020191344031923e-11,-2.6121345154263496e-12,-7.55650601403448e-10,-5.531598850346011e-10,-3.7722635614198704e-10,6.429622110350948e-11,1.0460965925384876e-10,2.9659111414239125e-10,-2.372291844779769e-05,-5.481548169003176e-06,-3.3361923211794426e-06,3.396726219381645e-06,5.963197382888895e-06,2.5620631677532068e-05,-6.282934918999678e-06,-3.835779439214095e-06,-2.5505499934297434e-06,2.018084114752129e-06,3.2114838359120736e-06,6.032941200828642e-06,-2.100685894983453e-06,-2.0203161572155034e-06,-1.921486313527513e-06,9.645680747094107e-07,1.22504492200239e-06,1.45446755442791e-06,-1.3022038610086056e-10,-6.020191344032457e-11,-2.6121345154286987e-12,-7.556506014042071e-10,-5.53159885034654e-10,-3.7722635614216287e-10,6.429622110345351e-11,1.0460965925387351e-10,2.9659111414186227e-10
hus,20000.0,200.0,-8.383108973261313e-07,1.150962718845749e-06,3.2981877104921034e-06,-0.0001248725602636,-3.467738497420214e-05,-1.8374066712567583e-05,2.0569408661685884e-05,3.64522056770511e-05,0.0001730975927785,-7.331768980872711e-06,-6.440052507476412e-06,-5.389168530000695e-06,6.165628074460212e-06,7.480844669150493e-06,8.439807590214944e-06,-4.439070835360326e-05,-2.6114432330359705e-05,-1.4164031199470628e-05,1.3788895557809155e-05,2.56489420280559e-05,5.337461698218249e-05,-5.748062209989901e-07,-4.480002048711705e-09,1.4380739118973983e-06,-1.6363013721076757e-05,-9.044584839251402e-06,-4.741640957811777e-06,6.555256971417444e-06,1.52595469713893e-05,2.445962144213311e-05,-0.00012657668738,-2.376619799664806e-05,-1.2240751871342514e-05,1.3743957593837593e-05,2.502843340784897e-05,0.000147523162532,-5.931836886002424e-20,-2.286836339037556e-20,-1.1769942503108404e-20,1.1141154081002511e-20,2.2446037341430996e-20,7.904419892647698e-20,-7.903416848339548e-06,-6.536932849344537e-06,-5.124104959306145e-06,4.582720704663214e-06,5.317580387971846e-06,5.716520449979829e-06,-6.174210296465691e-10,-2.8296843437800895e-10,-1.1116206283356375e-11,-6.3619060951467295e-09,-4.007512263988102e-09,-2.097958560672899e-09,4.026236837650039e-10,1.4095582412324992e-09,2.8076664096912875e-09,-0.000124643076246,-3.4533689123401426e-05,-1.831666894312504e-05,2.0492870554850077e-05,3.632347531425401e-05,0.0001735735455422,-4.439070835360321e-05,-2.611442188936053e-05,-1.4164021740725724e-05,1.37889472171082e-05,2.5648932642070542e-05,5.3374646086012985e-05,-7.332209538333049e-06,-6.690172795965867e-06,-5.27734490592747e-06,6.064712785144026e-06,7.317058228890967e-06,8.533202304928499e-06,-6.174210296465729e-10,-2.8296843437801665e-10,-1.1116206283380518e-11,-6.361906095147618e-09,-4.0075122639867674e-09,-2.0979585606734713e-09,4.0262368376594654e-10,1.4095582412306254e-09,2.807666409689743e-09
hus,25000.0,250.0,2.4162690445002645e-07,5.226697927857465e-06,1.085807687740905e-05,-0.0003795938682742,-0.0001209179899888,-5.864286140422337e-05,6.98236035532318e-05,0.0001293761306442,0.000522683665622,-1.590066056552254e-05,-1.304435174987796e-05,-1.00710831441604e-05,1.991520746343422e-05,2.3292528900321997e-05,2.6031367638354657e-05,-0.0001674232917139,-8.921368862502277e-05,-4.3656571506289765e-05,4.692334186984226e-05,9.089749801205473e-05,0.0002087252942146,-1.6435175492880516e-06,1.030229502002883e-06,6.015064538966321e-06,-4.813755808898795e-05,-2.590246926379136e-05,-1.3253921551669434e-05,2.325050735123956e-05,5.163236840603492e-05,8.532594639583971e-05,-0.0003606215980156,-8.388159764540087e-05,-4.26441571772611e-05,4.561529330189366e-05,8.634111897744685e-05,0.0004221963830981,-2.618690112102376e-19,-6.917454050136006e-20,-3.447958260246694e-20,3.4194068516850523e-20,6.973178134766868e-20,2.135044278125301e-19,-1.923667455562692e-05,-1.6542914551438668e-05,-1.2717902458497489e-05,1.1531235718539257e-05,1.3573589361751514e-05,1.5320443781335497e-05,-1.410752606580201e-09,-6.467143078819526e-10,-2.7293880783713978e-11,-2.2151887560078493e-08,-1.2712113972042306e-08,-6.040412732236653e-09,2.279772587551934e-09,7.451604940621646e-09,1.3346595140441838e-08,-0.0003824850734971,-0.0001203855014372,-5.8538111849707096e-05,6.97205812493698e-05,0.0001290199693879,0.0005237924346342,-0.0001674231971264,-8.921366865251911e-05,-4.365655986475757e-05,4.692333568527836e-05,9.08975710626691e-05,0.000208725236007,-1.5826062508951798e-05,-1.3707590045430992e-05,-9.882577952489804e-06,1.9332898819752547e-05,2.1893214424614388e-05,2.388029637826624e-05,-1.4107526065801239e-09,-6.467143078819461e-10,-2.729388078376353e-11,-2.215188756006184e-08,-1.2712113972039556e-08,-6.040412732237979e-09,2.2797725875623182e-09,7.451604940622179e-09,1.334659514043818e-08
hus,30000.0,300.0,4.283982894724226e-06,1.4203016987593292e-05,2.424081603987108e-05,-0.0009293299517594,-0.0002913656644523,-0.0001311263913521,0.0001614198845345,0.0003045967896468,0.0012853812659159,-2.4474220684180748e-05,-1.94120374698337e-05,-1.3996612158999663e-05,4.592643855371647e-05,5.279521747444314e-05,5.793217166982161e-05,-0.0004425073857419,-0.0002156901173293,-8.970826456788927e-05,0.0001095712577807,0.000200563124963,0.0004508280544541,-3.274559769931588e-06,2.3141142455740773e-06,1.284374325519615e-05,-0.0001405638542797,-7.487744800040764e-05,-3.618717216640446e-05,5.444888041392892e-05,0.0001207299400637,0.0002037703442957,-0.0008468430476038,-0.0002045653852311,-0.0001021908320134,0.0001070721968938,0.0002120189828046,0.0009985904018625,-5.48352342012038e-19,-1.5227668350494608e-19,-7.560112445980004e-20,7.578990186509247e-20,1.4531288225383293e-19,5.392684859722946e-19,-4.3725395852374784e-05,-3.3754855165606496e-05,-2.503618752287425e-05,2.282145646625769e-05,2.597112837275318e-05,3.4403457170465326e-05,-2.307186037860682e-09,-1.0548712983760198e-09,-5.369943494099339e-11,-5.97173137946453e-08,-2.9148357721180645e-08,-1.2936475131878638e-08,6.8168361478539906e-09,2.3301684609431194e-08,3.8297165473183235e-08,-0.0009326204033111,-0.0002897741407094,-0.0001307697937286,0.0001612352735811,0.0003040468064215,0.0012885006419613,-0.0004425073857419,-0.0002156899878173,-8.970822818810127e-05,0.0001095710002118,0.0002005631345673,0.0004508282145252,-2.503412187014355e-05,-1.8249354704403925e-05,-1.33526690656425e-05,4.4216009754629984e-05,4.978265312980386e-05,5.381491888738943e-05,-2.3071860378604472e-09,-1.0548712983759964e-09,-5.3699434941122566e-11,-5.971731379466629e-08,-2.91483577211996e-08,-1.2936475131872384e-08,6.816836147846776e-09,2.3301684609429807e-08,3.8297165473150505e-08
hus,40000.0,400.0,-9.581706542190956e-06,2.772260125418876e-05,6.19074410346479e-05,-0.0028354385867714,-0.0010690486524254,-0.0004890346317552,0.000480608199723,0.0009207843686453,0.0030608652159571,-8.043826752888525e-05,-6.971219092526274e-05,-5.97399910101425e-05,0.0001110679375881,0.0001270351245456,0.0001359114852807,-0.0014017230132594,-0.0008228830993175,-0.0003531462571118,0.000312628399115,0.0005340848001651,0.0015687048435211,-1.1184500361217606e-05,1.6556377418516688e-06,2.6535195412366656e-05,-0.0005771180790471,-0.000333894246291,-0.0001386353048581,0.0001490257652757,0.0003596855656547,0.0007422709803732,-0.0024427710924603,-0.0006665422725698,-0.0003284835011659,0.000332676388253,0.0006837214546216,0.0025147377870775,-1.6212992487014005e-18,-4.3266894696654875e-19,-2.18012544953842e-19,2.1100242279910201e-19,4.1118025525962723e-19,1.5095430247682793e-18,-0.000117137754165,-9.341266672575796e-05,-5.795453246577368e-05,4.802604968858303e-05,6.416929839336269e-05,8.338651614835738e-05,-4.551229115166795e-09,-2.0943196237060523e-09,-1.274293472711718e-10,-2.0073749942883729e-07,-9.739025366085577e-08,-3.649607711651893e-08,2.9144580835541882e-08,8.317253445199134e-08,1.40277890209218e-07,-0.0028646133906979,-0.0010615859094832,-0.0004875329232039,0.0004800700425298,0.0009193255553018,0.0030979472801599,-0.0014017229841556,-0.0008228832052554,-0.0003531463749823,0.0003126280455035,0.000534084237297,0.0015687042614445,-7.364958352818999e-05,-7.011575854770444e-05,-5.930153207159294e-05,0.0001044168162527,0.0001160662330303,0.0001340438824508,-4.5512291151664954e-09,-2.0943196237062115e-09,-1.2742934727157762e-10,-2.0073749942892458e-07,-9.739025366088333e-08,-3.649607711649109e-08,2.9144580835577918e-08,8.317253445201405e-08,1.4027789020920497e-07
hus,50000.0,500.0,4.691666575646227e-06,6.402318688848313e-05,0.0001276014067819,-0.0045270957052707,-0.0021907822228968,-0.0009782895212993,0.0010461299680173,0.0019571897573769,0.0053449217230081,-0.0001421299589499,-0.0001228137741827,-0.0001028760865404,0.0002174306492489,0.0002409928506588,0.0002790373014065,-0.002873133867979,-0.0016649666940793,-0.0007363617187365,0.0007009101682342,0.0012533609988167,0.0031912524718791,-1.9547232643845263e-05,1.135684327472546e-05,6.600400096723919e-05,-0.0010422262487685,-0.0005444489247351,-0.0002548112676415,0.0003232076049404,0.0008630436098207,0.0015013724529913,-0.0046510656694396,-0.001353840200413,-0.0006694703423043,0.0006833727316083,0.0013730447235768,0.0045659449182027,-3.2159104439262352e-18,-9.62232358357027e-19,-4.649371478406307e-19,4.678749375110524e-19,9.327694085094104e-19,3.1425182968656775e-18,-0.000214886123893,-0.0001698286598931,-0.0001152782103628,0.0001032803081343,0.0001300322245367,0.0001577041898176,-1.1012091786080684e-08,-5.196304366224689e-09,-2.6623521774227644e-10,-4.063838810487721e-07,-2.202394592464336e-07,-7.685657313488237e-08,5.97641995188388e-08,1.5575888827234817e-07,2.4082557814570604e-07,-0.0045894969450946,-0.0021779122917876,-0.0009758034375783,0.0010448421502683,0.0019545181569717,0.0054223365147834,-0.0028731346828863,-0.0016649672965286,-0.0007363617405644,0.0007009103253949,0.0012533617124427,0.0031912524718791,-0.0001292577592193,-0.000115216841183,-9.01969868446384e-05,0.0002031456184688,0.0002349650820644,0.0002626370473454,-1.1012091786080402e-08,-5.196304366224783e-09,-2.6623521774293105e-10,-4.063838810487536e-07,-2.2023945924636278e-07,-7.68565731348115e-08,5.976419951883453e-08,1.55758888272186e-07,2.4082557814565723e-07
hus,60000.0,600.0,8.158085317957946e-05,0.00016248719075424075,0.000238909050353,-0.0064780940301716,-0.0027346780989319,-0.0012614500010386,0.0016238063108175,0.0028177720960229,0.0070234830491244,-0.0001301180244367,-0.0001209514056807,-7.959469836257809e-05,0.0003739466171023,0.0004063662062767,0.0004536755619185,-0.0037696647923439,-0.0019459299510344,-0.0008955032099038,0.0011171787045896,0.0018319276859983,0.004086647182703,-1.980038410354098e-05,3.5247674577116446e-05,0.0001183226976064,-0.0013120381114757,-0.0006950734298938,-0.0002944821108117,0.000497409613562,0.0009643036656397,0.0021037289693676,-0.0063232054857304,-0.0019116942465146,-0.000994805847714,0.0010561975830602,0.0019761315782995,0.0062447384717864,-5.264218548252695e-18,-1.6725312951421253e-18,-8.415753079400996e-19,8.407939009689389e-19,1.6837913695965453e-18,5.560492006779712e-18,-0.0003047382523074,-0.0002444762045895,-0.0001703115042546,0.0001547044194221,0.000188287239837,0.0002088808527365,-1.821209202803952e-08,-8.267685371524449e-09,-3.222610097860139e-10,-5.432714099283487e-07,-2.9477822545402386e-07,-1.0996507244211225e-07,7.657205487638174e-08,2.043461154387849e-07,3.373209854245008e-07,-0.0063661847488538,-0.0027190244999069,-0.0012563719628836,0.0016227339300559,0.0028144567421936,0.0070311651987052,-0.0037696651415899,-0.0019459306797944,-0.00089550310513,0.0011171786871273,0.0018319273786619,0.0040866474155336,-9.762820447476996e-05,-8.913805108316037e-05,-5.274919365051296e-05,0.0003530948296321,0.000392655661602,0.000429977788196,-1.8212092028037053e-08,-8.26768537152421e-09,-3.222610097873451e-10,-5.432714099280882e-07,-2.9477822545399734e-07,-1.099650724421533e-07,7.657205487622782e-08,2.0434611543880213e-07,3.373209854244652e-07
hus,70000.0,700.0,8.350767446149539e-05,0.00026814524302193956,0.0003936380070059,-0.0081713870167732,-0.0033210758119821,-0.0015460136346518,0.0022412948310375,0.0037033667322248,0.0095022479072213,-0.0002171326017,-0.0001724091134428,-0.0001145865234423,0.000570957687797,0.0006394807320861,0.0006736031575956,-0.0050936071202158,-0.002444856101647,-0.0010682165157049,0.0015978044830262,0.0025563926901668,0.0048841005191206,-2.600564893253877e-05,8.355220611909196e-05,0.0002204256566488,-0.0012483350238134,-0.0007334844504268,-0.0002658674464372,0.000787150905533,0.0013522663568919,0.0024403850502881,-0.0075457727533069,-0.0023900410769699,-0.0012801636837546,0.0013578748874413,0.0024557938303183,0.009224450450616,-7.298341110641163e-18,-2.688680734509242e-18,-1.3549596879926953e-18,1.3690250134735886e-18,2.6377486281289746e-18,7.406175272661339e-18,-0.0004955940126994,-0.0003944735255511,-0.0002294991063369,0.0001932419579787,0.0002631103348585,0.0002892027460514,-2.7456428592202442e-08,-1.1997583487192793e-08,-4.4061825131294696e-10,-6.902498529938982e-07,-3.584546408538953e-07,-1.5199249731276848e-07,9.18474315821124e-08,2.134592239438099e-07,3.818457644677817e-07,-0.0080029228306992,-0.0033020460617218,-0.0015389519162893,0.0022389716299,0.0036996587060941,0.0094995379279392,-0.0050936066545546,-0.002444856360089,-0.001068217260763,0.0015978041104972,0.0025563908671028,0.0048841014504432,-0.0001615822415318,-0.0001286662634818,-8.407918194496332e-05,0.0005570744241734,0.0006269428010532,0.000653035212246,-2.7456428592197386e-08,-1.1997583487191645e-08,-4.4061825131459786e-10,-6.902498529939603e-07,-3.584546408539249e-07,-1.5199249731307638e-07,9.184743158210165e-08,2.1345922394366339e-07,3.81845764467888e-07
