var,plev_pa,plev_hpa,global_mean_min,global_mean_mean,global_mean_max,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,spatial_min,spatial_p01,spatial_p05,spatial_p95,spatial_p99,spatial_max,temporal_min,temporal_p01,temporal_p05,temporal_p95,temporal_p99,temporal_max,slope_mean_min,slope_mean_mean,slope_mean_max,slope_min,slope_p01,slope_p05,slope_p95,slope_p99,slope_max,raw_detrended0_min,raw_detrended0_p01,raw_detrended0_p05,raw_detrended0_p95,raw_detrended0_p99,raw_detrended0_max,temporal_detrended0_min,temporal_detrended0_p01,temporal_detrended0_p05,temporal_detrended0_p95,temporal_detrended0_p99,temporal_detrended0_max,spatial_detrended0_min,spatial_detrended0_p01,spatial_detrended0_p05,spatial_detrended0_p95,spatial_detrended0_p99,spatial_detrended0_max,slope_mean_detrended0_min,slope_mean_detrended0_mean,slope_mean_detrended0_max,slope_detrended0_min,slope_detrended0_p01,slope_detrended0_p05,slope_detrended0_p95,slope_detrended0_p99,slope_detrended0_max,raw_detrended1_min,raw_detrended1_p01,raw_detrended1_p05,raw_detrended1_p95,raw_detrended1_p99,raw_detrended1_max,temporal_detrended1_min,temporal_detrended1_p01,temporal_detrended1_p05,temporal_detrended1_p95,temporal_detrended1_p99,temporal_detrended1_max,spatial_detrended1_min,spatial_detrended1_p01,spatial_detrended1_p05,spatial_detrended1_p95,spatial_detrended1_p99,spatial_detrended1_max,slope_mean_detrended1_min,slope_mean_detrended1_mean,slope_mean_detrended1_max,slope_detrended1_min,slope_detrended1_p01,slope_detrended1_p05,slope_detrended1_p95,slope_detrended1_p99,slope_detrended1_max
hus,5000.0,50.0,-1.075077258916923e-06,-9.206280203131806e-07,-5.66133515963232e-07,-2.35179822993814e-06,-1.8223026927444157e-06,-1.6244003973042709e-06,1.1176507541676983e-06,1.6283970580843745e-06,2.355423021072056e-06,-1.5779677152041212e-06,-1.5099459301947745e-06,-1.4366634046715482e-06,1.0270147091057912e-06,1.1971360695283396e-06,1.3198177897231676e-06,-1.3867684174329042e-06,-1.370770633002394e-06,-1.3429605587589322e-06,-3.205692848951003e-07,-3.0976283937889093e-07,-2.873636901767896e-07,-5.432775410769182e-07,-2.526038788640864e-07,-6.562398550132168e-08,-6.468385959193507e-07,-6.376847491401267e-07,-6.280258822846486e-07,-1.6612433962169701e-09,2.488246920257964e-09,4.722409185017491e-09,-1.8712026413865036e-06,-1.2862502220368389e-06,-1.0072837015024495e-06,1.1182032010356254e-06,1.5953741259023152e-06,2.4800967870529337e-06,-3.73166763363203e-21,-2.0756877529388205e-21,-1.5828547341676585e-21,9.281751996879896e-22,1.3406276863017704e-21,3.398034152609203e-21,-1.1776130055006871e-06,-1.126350140533003e-06,-9.485351575129212e-07,1.128159334269686e-06,1.3834915477774351e-06,1.571016975438045e-06,-6.466713306163925e-13,7.706672904052665e-14,9.64760702515671e-13,-1.6986259679149528e-12,-1.6028950170322406e-12,-1.4469730193830928e-12,1.889458338905223e-12,2.068202210270097e-12,2.2674208062911275e-12,-2.6354078069313504e-06,-2.0837203504208754e-06,-1.8294642251288165e-06,4.693331672064241e-07,9.679278637648443e-07,1.7364071135663994e-06,-1.386767735311879e-06,-1.370770393123166e-06,-1.3429605985493255e-06,-3.205690859431337e-07,-3.097633725701592e-07,-2.873646280932007e-07,-1.916338747349556e-06,-1.848346051815998e-06,-1.7393345556899432e-06,3.483542009852557e-07,5.598737708589675e-07,6.839438487686861e-07,-6.466713306123701e-13,7.70667290446225e-14,9.647607025191537e-13,-1.6986259679100568e-12,-1.6028950170308888e-12,-1.446973019389911e-12,1.8894583388601856e-12,2.068202210264607e-12,2.2674208063031e-12
hus,10000.0,100.0,-3.146574581136564e-07,-2.1914770515881602e-07,6.042194366956892e-10,-3.1682432108937064e-06,-1.5157497728068847e-06,-1.2601011576407473e-06,1.1238139450142626e-06,1.8079151686833936e-06,4.383739906188566e-06,-8.99918765432745e-07,-7.912228912200347e-07,-6.63717179682942e-07,1.097856106643337e-06,1.4983285390480382e-06,1.848206314017714e-06,-9.211971701006404e-07,-8.912842304198421e-07,-8.550168217880127e-07,3.467843043836183e-07,4.172638341515267e-07,4.786092517861107e-07,-3.325006042374216e-07,-1.671265652230963e-07,-6.510567163091372e-08,-4.166660013692961e-07,-4.097726536389378e-07,-4.035079076431242e-07,4.429374963545451e-09,1.1705090340083456e-08,1.5057043522687926e-08,-2.5117738597763938e-06,-1.0478059041151852e-06,-7.51305313602118e-07,8.094830138806079e-07,1.3258791588032812e-06,3.932404356563882e-06,-3.927429744643141e-21,-1.977738142608397e-21,-1.4465068047085578e-21,1.021466890528792e-21,1.5108036132316985e-21,3.954851674590223e-21,-9.162276164186354e-07,-7.74470677758056e-07,-6.471437398934193e-07,6.905535940995801e-07,1.2250720264619562e-06,1.7738067785167035e-06,-2.1338726324333245e-12,-1.0882658581742323e-12,6.179422847905649e-14,-4.3755251908943406e-12,-3.739945847265499e-12,-3.223424798939783e-12,1.489884666682419e-12,1.7580664561494434e-12,1.8869800166521907e-12,-2.859557824645281e-06,-1.6102267592424444e-06,-1.250887310629969e-06,7.994252528398318e-07,1.388332082783977e-06,4.154522516872918e-06,-9.211972837874788e-07,-8.912862381293952e-07,-8.550165830456534e-07,3.467836904746938e-07,4.1726203107828006e-07,4.786099907505565e-07,-1.0517299521530786e-06,-9.09973013492498e-07,-7.826460756278621e-07,6.407411386317326e-07,1.10935446900853e-06,1.541920797038228e-06,-2.1338726324323018e-12,-1.0882658581732818e-12,6.17942284795622e-14,-4.375525190898285e-12,-3.739945847259636e-12,-3.2234247989504467e-12,1.4898846667169245e-12,1.7580664561766457e-12,1.8869800166800632e-12
hus,15000.0,150.0,-1.762153142887982e-07,-5.838993065937318e-08,1.0629712875071297e-07,-2.345787652302533e-05,-2.748658516793512e-06,-1.5702635209891014e-06,1.6853928173077293e-06,2.853640580724459e-06,1.9403392798267305e-05,-1.195193856445947e-06,-1.0113694997902855e-06,-7.101345049723001e-07,8.364902312354643e-07,1.1172686513092574e-06,1.8175646980905595e-06,-8.932147466111928e-07,-6.256299229789875e-07,-5.587089617620222e-07,5.472120392369106e-07,8.101181947495206e-07,1.0559766678852611e-06,-1.976370623985537e-07,-1.3847237101015274e-07,-9.906992190223672e-08,-4.88437762615198e-07,-3.9545781309465734e-07,-3.156958026737988e-07,5.184614293246885e-08,1.101057016854336e-07,1.4973575168580288e-07,-2.2927262392511343e-05,-2.532839203726486e-06,-1.3987344519081506e-06,1.488270556528925e-06,2.6614349184235278e-06,1.9999340290383744e-05,-1.2050414771189775e-20,-4.603837350004489e-21,-2.63250527491984e-21,2.407036073132724e-21,4.327820390681574e-21,1.2007758435716538e-20,-9.725433173794817e-07,-7.815810166785723e-07,-5.512103196953479e-07,5.411367078057172e-07,9.459133138583788e-07,1.5706455909304352e-06,-1.9853366558719607e-12,-1.2888966892439096e-12,-7.710752314890737e-13,-9.854814070998447e-12,-6.663523857795913e-12,-4.426637960216278e-12,1.3805097641307993e-12,3.612124847666167e-12,9.180932910449569e-12,-2.305190314354618e-05,-2.680539678868116e-06,-1.5405337363860572e-06,1.6438714692946262e-06,2.8219920969746427e-06,1.9869416243751376e-05,-8.932129276217912e-07,-6.256329015741362e-07,-5.587082114288942e-07,5.472177917908996e-07,8.101187358988668e-07,1.0559833754086846e-06,-1.133732979160395e-06,-8.873058505525231e-07,-6.92451070796543e-07,5.977487310583625e-07,8.401884799844282e-07,1.581322580097665e-06,-1.9853366558715075e-12,-1.2888966892435764e-12,-7.710752314888718e-13,-9.85481407103169e-12,-6.663523857744516e-12,-4.426637960202394e-12,1.3805097641530189e-12,3.612124847654884e-12,9.180932910510636e-12
hus,20000.0,200.0,8.46930430373194e-08,2.4703162099118124e-07,4.361208032644174e-07,-0.000120891680126,-1.5797048035892658e-05,-8.043686648306902e-06,9.162122296402233e-06,1.6815773051348515e-05,0.0001138670195359,-3.026993263518741e-06,-2.458221083065564e-06,-1.5181805434535607e-06,1.9825189349435747e-06,2.5349726271829606e-06,3.4250791519526104e-06,-4.73136969958432e-06,-2.308908506165608e-06,-1.5483623201362209e-06,2.1619416656903923e-06,3.708841632033e-06,5.744002919527702e-06,-2.540872297727425e-07,-1.756891675920556e-07,-8.228493737279906e-08,-3.018765005931268e-06,-1.971734807683954e-06,-1.28784193277181e-06,4.46130568376888e-07,9.217016267804784e-07,1.9580978402852758e-06,-0.000119363376978,-1.5721011852524835e-05,-8.065025856383075e-06,8.31991235288674e-06,1.598995115914016e-05,0.0001127798968369,-7.132139291125418e-20,-2.169379346924683e-20,-1.090783435672804e-20,1.0237520513577156e-20,2.0755354088835588e-20,6.9395764052748e-20,-3.494098172278863e-06,-2.36017388929524e-06,-1.5946282179147546e-06,1.5461821304883131e-06,2.2517830184928103e-06,3.032039526164239e-06,-3.811820270221468e-12,-2.310366282321719e-12,-8.742095271913411e-13,-6.209639113682185e-11,-2.7621431467193148e-11,-1.7007712758184863e-11,1.2254958861295422e-11,2.294169066280904e-11,5.6131281801885695e-11,-0.000120619760235,-1.5619439910991075e-05,-7.995821378706103e-06,9.11664298725771e-06,1.6765918369501603e-05,0.0001135129892755,-4.731315129902198e-06,-2.3089113528840188e-06,-1.548344198454283e-06,2.1619598555844387e-06,3.70882080460432e-06,5.744004738517094e-06,-3.1098766862198487e-06,-2.25767825248694e-06,-1.4998328292950694e-06,1.8559686469190565e-06,2.58595390124766e-06,3.248745489245925e-06,-3.811820270221744e-12,-2.3103662823234636e-12,-8.742095271927209e-13,-6.209639113689736e-11,-2.7621431467425508e-11,-1.7007712758012534e-11,1.2254958861403503e-11,2.2941690662790748e-11,5.6131281802120646e-11
hus,25000.0,250.0,7.307015325826337e-07,1.4435241882857977e-06,2.167528817065129e-06,-0.0003501420724205,-5.647880243486725e-05,-2.748367842286825e-05,3.396224929019809e-05,6.534261774504557e-05,0.0003940297174267,-6.582042173983567e-06,-5.092668527203045e-06,-3.003029447610765e-06,6.08950968604736e-06,7.877652989220078e-06,1.1053174500816563e-05,-1.438509480067296e-05,-5.624398454529e-06,-3.20708363688027e-06,9.695086191641169e-06,1.7563632354722358e-05,2.936999408120755e-05,-7.150290130333721e-07,-3.325362855143383e-07,2.888721167068856e-07,-9.741670334382634e-06,-6.494226514048732e-06,-3.578701973446369e-06,2.158131967229737e-06,4.0236601748573725e-06,7.166584636876444e-06,-0.0003464665810675,-5.867176582622868e-05,-2.9114592818432303e-05,2.9354204310056853e-05,5.952326182914556e-05,0.000392163574739,-2.0752916583951404e-19,-6.432136638485159e-20,-3.1980064080507685e-20,3.078568668725701e-20,6.355574610072898e-20,2.396067301153892e-19,-7.985562543527706e-06,-5.870591712686415e-06,-4.395970660684333e-06,4.0205104681792e-06,6.071181831757057e-06,9.478146430335384e-06,-1.0947023863347853e-11,-5.9202431957082255e-12,-1.785771750751904e-12,-1.9362851981604383e-10,-9.84745932490268e-11,-6.083403190973646e-11,4.162172991132736e-11,7.991723910003507e-11,2.0306231595848948e-10,-0.0003487570670764,-5.621254602630714e-05,-2.7400057625563648e-05,3.386751826348927e-05,6.518888251288607e-05,0.0003893508714243,-1.4385099348146528e-05,-5.62449400604241e-06,-3.207084773748641e-06,9.695117478258934e-06,1.7563630244694633e-05,2.9369854019023505e-05,-6.974701868534902e-06,-4.254346386809922e-06,-2.964171704213921e-06,6.055208988906056e-06,7.613339658890901e-06,1.1041241307742034e-05,-1.0947023863353751e-11,-5.920243195714549e-12,-1.7857717507569258e-12,-1.9362851981637878e-10,-9.847459324935969e-11,-6.08340319099031e-11,4.1621729912051376e-11,7.991723910034826e-11,2.0306231595831887e-10
hus,30000.0,300.0,1.6790879747404096e-06,2.905534314905786e-06,4.036220844317386e-06,-0.000734602974262,-0.0001466702960897,-6.916605343576521e-05,7.992988685145974e-05,0.0001601820549694,0.001029482926242,-1.4990096626093344e-05,-1.2906775551369404e-05,-8.380514198924568e-06,1.2140581806383438e-05,1.6374756527958608e-05,2.3537026001623663e-05,-4.7938628995325416e-05,-1.618874193809461e-05,-7.179518888733583e-06,1.7492529877927154e-05,3.639372880570591e-05,6.775253859814256e-05,-1.462075683705483e-06,-3.9856403204847485e-07,1.3301747919557383e-06,-2.2623424011926373e-05,-1.4402092027130667e-05,-7.442148849427636e-06,5.2546901510469445e-06,9.06257391278515e-06,1.8193930017775472e-05,-0.0007283449953512,-0.0001492991179389,-7.166427838441296e-05,7.193804176864756e-05,0.0001497259094896,0.0009928979457687,-5.239660499044155e-19,-1.4020528093832332e-19,-6.854263734328323e-20,6.703138431508851e-20,1.347852450778491e-19,4.474283965410054e-19,-1.988734233041324e-05,-1.2795049708037047e-05,-1.0235553940179884e-05,9.440086349873325e-06,1.2503052904204525e-05,2.0939950457120533e-05,-3.0277246781936286e-11,-1.769608028451275e-11,-8.981256605278513e-12,-4.875554171910905e-10,-2.5265335645421966e-10,-1.5674449799532115e-10,1.0017355349047436e-10,1.922171060213581e-10,4.5522221159938306e-10,-0.0007313004747822,-0.0001462195240134,-6.896862061237563e-05,7.968626063295135e-05,0.0001597998688159,0.0010151891806959,-4.79387090308594e-05,-1.6188940207939622e-05,-7.179604290286034e-06,1.7492514598416137e-05,3.6393779737409055e-05,6.775240763090554e-05,-1.686066527780211e-05,-1.1116011024811596e-05,-8.556515256954439e-06,1.190912167082884e-05,1.627816840948827e-05,2.3858568075517763e-05,-3.0277246781960313e-11,-1.7696080284526433e-11,-8.981256605281772e-12,-4.875554171903623e-10,-2.526533564548062e-10,-1.5674449798858278e-10,1.0017355349234292e-10,1.9221710602253075e-10,4.5522221159908186e-10
hus,40000.0,400.0,4.143654943212298e-07,4.1145520961758045e-06,6.207661225762095e-06,-0.0022041210904717,-0.0005052987253293,-0.000236757332459,0.0002395696938037,0.0004875373269896,0.0032063655089586,-5.8186183130512905e-05,-4.080540002000271e-05,-2.5733455074430097e-05,3.2333332338158766e-05,4.376324798860217e-05,5.774507778819746e-05,-0.0001970144803635,-8.334199810633436e-05,-4.209031249047257e-05,4.110432928428054e-05,7.572328468086198e-05,0.0001538039941806,-6.692943881085732e-06,-4.478286059059833e-06,-1.26000822070294e-06,-8.942269691468148e-05,-5.3707773367037706e-05,-3.1041356146932776e-05,1.0465114876041382e-05,1.6823805641724135e-05,3.900681555436126e-05,-0.0021179616522144,-0.0004945463165808,-0.0002333615959951,0.000230433368861,0.0004791630403346,0.0031616484206162,-1.5494731047787445e-18,-4.2401079961766293e-19,-2.0203015482079252e-19,1.893453794034937e-19,3.8618072381511042e-19,1.6485333032720241e-18,-5.809802252128255e-05,-4.1065422154786416e-05,-2.5392612223792228e-05,2.879965240804109e-05,3.734906077897694e-05,5.0468570796644907e-05,-9.834003034309972e-11,-6.311801074370768e-11,-3.955924856527736e-11,-1.616534277466072e-09,-8.476635716790327e-10,-5.007193648030157e-10,3.045695714166606e-10,5.989633417113544e-10,1.3534710024755212e-09,-0.0021746128984827,-0.0005026908349908,-0.0002361525772056,0.0002388133477552,0.0004854345377844,0.0031934932498254,-0.0001970153534784,-8.334229816682618e-05,-4.209032485960034e-05,4.110430600121602e-05,7.572259986773133e-05,0.0001538037904538,-5.189037302119065e-05,-3.642030992422843e-05,-2.4978258443193648e-05,2.9469588317181103e-05,4.176703791379452e-05,5.492289025546169e-05,-9.834003034309303e-11,-6.311801074372962e-11,-3.955924856526746e-11,-1.6165342774693195e-09,-8.476635716770503e-10,-5.007193648004343e-10,3.0456957142231645e-10,5.989633417337539e-10,1.3534710024598228e-09
hus,50000.0,500.0,3.8198555167042415e-06,9.378761270939459e-06,1.2739201576178636e-05,-0.0045001804828643,-0.0010376285063102,-0.0004953336901962,0.0004917588667012,0.0009991279803216,0.0051601864397525,-9.851105991549206e-05,-7.147303816292189e-05,-4.564897099415367e-05,6.273616739039675e-05,7.895616423040816e-05,0.0001073669167885,-0.0003937291912734,-0.0001981132663786,-9.696885535959154e-05,9.021464211400598e-05,0.0001786110951798,0.0003636832116171,-1.090775436248143e-05,-7.1871210344624334e-06,-9.398096749166932e-07,-0.000154537109059,-9.01330404332732e-05,-5.190962499599108e-05,2.399120824824462e-05,4.3520798777851565e-05,9.672172238008832e-05,-0.0043154283315427,-0.0010111752062814,-0.0004837003336884,0.0004761358099078,0.000982143586956,0.0050754670861843,-3.2198464518130664e-18,-9.176016386573181e-19,-4.336808689942019e-19,4.128255772051138e-19,8.720417473660388e-19,3.3399666925057053e-18,-0.0001089213211316,-7.139176734669828e-05,-5.13797703996653e-05,5.363039017983554e-05,6.935889824818449e-05,0.0001003872284204,-1.5167770212109362e-10,-1.0517172261399307e-10,-6.133329086554229e-11,-3.790211316007952e-09,-1.6861852513495527e-09,-9.67626605955772e-10,6.314193875711108e-10,1.3429627554818034e-09,2.727451060986198e-09,-0.0044021725310496,-0.0010335279669407,-0.000493691379172,0.0004907711294197,0.0009954808374312,0.0051355860538515,-0.000393729424104,-0.0001981131191132,-9.696837514638894e-05,9.021460136864297e-05,0.0001786113157868,0.0003636814653873,-9.825835960011528e-05,-6.45883100964927e-05,-4.5263650610174205e-05,5.976677697956678e-05,7.816006051727564e-05,0.0001065366100347,-1.5167770212112048e-10,-1.0517172261399468e-10,-6.133329086559095e-11,-3.790211316024136e-09,-1.6861852513591335e-09,-9.676266059475674e-10,6.314193875764244e-10,1.3429627554763612e-09,2.727451060970932e-09
hus,60000.0,600.0,9.08636652233062e-07,1.357679876385151e-05,2.168393756192892e-05,-0.0059656803496181,-0.0015075150877237,-0.0007612630724906,0.0007755942642688,0.0014880327507853,0.0066792923025786,-0.0001386036826124,-0.000101272019376,-7.356131668173709e-05,8.459824454744308e-05,0.0001058244383723,0.0001491887707425,-0.0007124724797904,-0.0002667594526428,-0.0001373410341329,0.0001315324770985,0.0003095975262112,0.0005812413874082,-1.0375652613621526e-05,-6.094334041676093e-06,1.1262523079303164e-06,-0.0001800553637559,-0.0001095671714229,-6.166226675777159e-05,4.718281701138045e-05,8.325636296205496e-05,0.0001715637761375,-0.0060493135764858,-0.0014681962812909,-0.0007436658425762,0.0007386963706394,0.0014460871854548,0.0065707943281058,-5.012290043447375e-18,-1.6406630875019677e-18,-7.823415676280295e-19,7.628415285545491e-19,1.586382778737022e-18,5.942051906470917e-18,-0.0001544091582255,-0.00010296403779,-7.426503954187037e-05,7.162257802467255e-05,9.655377930992236e-05,0.0001333552364425,-2.5127107019969527e-10,-1.5282221716243106e-10,-8.651797285348768e-11,-5.330808757830515e-09,-2.51995912719e-09,-1.536779183114595e-09,1.007187718862689e-09,1.9246529434751514e-09,4.16866364055012e-09,-0.0059884698070249,-0.0015035506652157,-0.0007587860591246,0.0007738162706489,0.0014836543161049,0.0066352199152452,-0.0007124724797904,-0.0002667597169056,-0.0001373408478684,0.0001315322122536,0.0003095970069989,0.0005812398158013,-0.0001439858142648,-9.371447883597208e-05,-7.335629397875966e-05,8.039495277389915e-05,0.000103033728464,0.0001448896173336,-2.512710701996248e-10,-1.528222171625423e-10,-8.651797285370073e-11,-5.330808757829001e-09,-2.5199591271746353e-09,-1.536779183127475e-09,1.0071877188610779e-09,1.9246529434417912e-09,4.1686636405231525e-09
hus,70000.0,700.0,2.4911049914259044e-06,2.4055627256648697e-05,3.781743405981596e-05,-0.0084587233141064,-0.0018778814701363,-0.0009780997643247,0.0010268320329487,0.0018952747341245,0.0080248955637216,-0.0002007932546997,-0.0001422227767601,-0.0001101189675321,0.0001378231988535,0.0001681105491229,0.0002015154390951,-0.0011891215108335,-0.0003025202895514,-0.0001504362298874,0.0001988186413655,0.0003751261392608,0.0008657001890242,-8.725477445697871e-06,-1.8788908641238606e-06,1.0211755806790652e-05,-0.0002407882292749,-0.0001442393750532,-7.715909947155535e-05,7.854560590611842e-05,0.0001288935401806,0.0002343746149218,-0.0078264282510806,-0.0018421662628261,-0.0009620401184176,0.0009616697097629,0.0018157395330589,0.0082079915824401,-8.360056751582472e-18,-2.5384838865231478e-18,-1.2573625194580097e-18,1.2495625038286173e-18,2.552804715218705e-18,7.174454375914871e-18,-0.0002266226628801,-0.0001570988074862,-0.0001126484187074,0.000122167636925,0.0001555527643731,0.0001947155144156,-2.6206973100718653e-10,-1.6208132418876656e-10,-4.167616823352136e-11,-6.635053089971819e-09,-3.341217940117576e-09,-1.95815841476739e-09,1.3189502786640643e-09,2.625543100221489e-09,5.616104570648016e-09,-0.0080599103548754,-0.0018724231474036,-0.0009741453601713,0.0010230498335073,0.0018893722641926,0.008133578443067,-0.0011891294270753,-0.0003025210811756,-0.0001504385378211,0.0001988169271498,0.0003751267679035,0.0008656992577016,-0.0002085296982449,-0.0001359874609989,-0.0001007060420011,0.0001349615110182,0.0001682593566718,0.0002003180347579,-2.6206973100732307e-10,-1.6208132418888652e-10,-4.167616823376065e-11,-6.635053089956653e-09,-3.3412179401154555e-09,-1.9581584147250793e-09,1.3189502786884e-09,2.625543100231478e-09,5.6161045706645565e-09
