var,plev_pa,plev_hpa,global_mean_min,global_mean_mean,global_mean_max,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,spatial_min,spatial_p01,spatial_p05,spatial_p95,spatial_p99,spatial_max,temporal_min,temporal_p01,temporal_p05,temporal_p95,temporal_p99,temporal_max,slope_mean_min,slope_mean_mean,slope_mean_max,slope_min,slope_p01,slope_p05,slope_p95,slope_p99,slope_max,raw_detrended0_min,raw_detrended0_p01,raw_detrended0_p05,raw_detrended0_p95,raw_detrended0_p99,raw_detrended0_max,temporal_detrended0_min,temporal_detrended0_p01,temporal_detrended0_p05,temporal_detrended0_p95,temporal_detrended0_p99,temporal_detrended0_max,spatial_detrended0_min,spatial_detrended0_p01,spatial_detrended0_p05,spatial_detrended0_p95,spatial_detrended0_p99,spatial_detrended0_max,slope_mean_detrended0_min,slope_mean_detrended0_mean,slope_mean_detrended0_max,slope_detrended0_min,slope_detrended0_p01,slope_detrended0_p05,slope_detrended0_p95,slope_detrended0_p99,slope_detrended0_max,raw_detrended1_min,raw_detrended1_p01,raw_detrended1_p05,raw_detrended1_p95,raw_detrended1_p99,raw_detrended1_max,temporal_detrended1_min,temporal_detrended1_p01,temporal_detrended1_p05,temporal_detrended1_p95,temporal_detrended1_p99,temporal_detrended1_max,spatial_detrended1_min,spatial_detrended1_p01,spatial_detrended1_p05,spatial_detrended1_p95,spatial_detrended1_p99,spatial_detrended1_max,slope_mean_detrended1_min,slope_mean_detrended1_mean,slope_mean_detrended1_max,slope_detrended1_min,slope_detrended1_p01,slope_detrended1_p05,slope_detrended1_p95,slope_detrended1_p99,slope_detrended1_max
hus,5000.0,50.0,7.644330495270656e-07,7.760062709089268e-07,7.922051029477929e-07,-1.0402293355582517e-06,-7.3554339508064e-08,2.0236164743892004e-07,1.417129624314839e-06,1.7551229802847956e-06,2.3979214347491502e-06,4.37816231078018e-09,1.5479944059154477e-07,4.81845300185026e-07,1.0549829080442946e-06,1.1542322889525088e-06,1.221447160106134e-06,4.144558829466405e-07,4.287598756036459e-07,4.588999615862122e-07,9.724097935759346e-07,1.0913620371866273e-06,1.1355483593433746e-06,1.3889762304662816e-08,1.9391606285119227e-08,2.5583886529737174e-08,-7.78372492862437e-09,-5.364641263900617e-09,-3.367611122658011e-09,6.925009590582315e-08,7.46491077867398e-08,7.885930640926333e-08,-1.6950002565537566e-06,-7.288472417273335e-07,-5.231095192689303e-07,5.667619389348644e-07,8.656490672896127e-07,1.468574004981681e-06,-3.741569997224032e-21,-1.8657652619911468e-21,-1.3055885535916104e-21,1.3558620918279268e-21,1.932796646306233e-21,4.070633156589012e-21,-7.399979584101554e-07,-5.640047504122895e-07,-2.994695246090179e-07,2.79708502748181e-07,3.630668294348485e-07,4.456685700099344e-07,-7.864928962944905e-13,-5.918284708576807e-13,-4.244306088581778e-13,-1.9674555933555256e-12,-1.7842725499187245e-12,-1.6442680933734013e-12,1.0909097877578509e-12,1.2942447110612496e-12,1.390193290339283e-12,-1.1931954224238858e-06,-5.2304141118353014e-08,2.1155251753322205e-07,1.4164835658989695e-06,1.753988948566511e-06,2.398213087340137e-06,4.144558261032224e-07,4.287583328732581e-07,4.589013542499748e-07,9.724102596919694e-07,1.0913618984886848e-06,1.1355487004038876e-06,4.7172997957983375e-08,2.0890209430017394e-07,4.7343732010344565e-07,1.0534289529223337e-06,1.1552719988935152e-06,1.2120768317419254e-06,-7.864928962980543e-13,-5.91828470861188e-13,-4.244306088617287e-13,-1.9674555934081457e-12,-1.7842725499297229e-12,-1.6442680933633245e-12,1.0909097877406372e-12,1.2942447110684242e-12,1.3901932903548209e-12
hus,10000.0,100.0,8.184621288300291e-07,9.710290270939642e-07,1.109621280690248e-06,-1.8255047962156825e-06,-8.881307422825557e-08,1.4842180462437685e-07,2.1165460566408e-06,2.8436804768716684e-06,4.1887155930453446e-06,-1.3773581860628978e-07,2.1320303024440226e-07,4.2449689663595365e-07,1.4792545652678803e-06,1.5922212628817075e-06,1.6967222799907463e-06,4.39225232184981e-07,4.64225337282187e-07,5.004956165066687e-07,1.349533135908132e-06,1.4417626061913325e-06,1.5478716477446142e-06,5.5918336779075e-09,1.7362971009712174e-08,2.4691095713526512e-08,-6.933796488381434e-08,-4.1833688560982293e-08,-2.6424878284052893e-08,1.012287334387099e-07,1.0717852128121105e-07,1.1218525989755597e-07,-2.7938155646155744e-06,-9.819716368344828e-07,-7.638463749627157e-07,9.73596428586592e-07,1.752643210024346e-06,3.1486645380666275e-06,-4.1361411003514835e-21,-1.9263905787824868e-21,-1.3490066093411566e-21,1.4145526391174412e-21,2.0219179186342483e-21,4.095008205430862e-21,-1.2018475063717512e-06,-6.476179544922313e-07,-4.134699377436535e-07,3.840332700337032e-07,4.851420322450328e-07,5.86553976097702e-07,-1.1945675199412728e-12,-9.66317490881859e-13,-6.920516345811408e-13,-2.9544771088415297e-12,-2.1114738954096136e-12,-1.8629672720849018e-12,8.045281759687768e-13,1.1568664892971625e-12,1.2838020637470556e-12,-1.8034788346598315e-06,-6.123353284630791e-08,1.529550644836924e-07,2.1154066888745736e-06,2.8431684472789624e-06,4.24156077784126e-06,4.392268238007084e-07,4.642246881303448e-07,5.004966965316274e-07,1.3495290772880266e-06,1.4417622833207136e-06,1.5478688055736715e-06,-1.2480259577503617e-07,1.847724483660223e-07,4.183418830907891e-07,1.4783293368994147e-06,1.587637446542105e-06,1.691912876588728e-06,-1.1945675199460905e-12,-9.663174908861994e-13,-6.920516345847551e-13,-2.954477108873585e-12,-2.111473895407106e-12,-1.862967272060772e-12,8.045281759367235e-13,1.1568664892761701e-12,1.2838020637582138e-12
hus,15000.0,150.0,2.2530377445338857e-06,3.38518017691304e-06,4.507874576766339e-06,-2.543404116295278e-05,-5.172725536795042e-07,4.2561840274402136e-08,9.735832463775296e-06,1.225006144522922e-05,3.271455716458149e-05,4.723920454627891e-07,1.2507824801614071e-06,1.545667774091879e-06,5.40038814855829e-06,5.70396528476417e-06,5.883008883169374e-06,1.341717563718703e-07,4.930775503453333e-07,5.853465836480609e-07,8.960852028394584e-06,9.831474926613735e-06,1.0826756806636697e-05,-1.3693097079778824e-08,-1.3656173925786683e-10,1.7001048379081052e-08,-5.065866977806437e-07,-2.967069573992213e-07,-1.9250152753484645e-07,1.3434972211169496e-07,1.9459333134104478e-07,3.526175099139261e-07,-2.661767306821779e-05,-3.972280203275843e-06,-2.491857365801948e-06,3.0079801032617787e-06,5.438747888733322e-06,2.775643164160827e-05,-1.5511671706732528e-20,-6.143761529399438e-21,-3.415553718964283e-21,3.5346867701788e-21,6.251301198008571e-21,1.5813312936150427e-20,-3.158738139396989e-06,-1.1709370144798244e-06,-7.940878566914717e-07,9.032711896737689e-07,1.2092278284046816e-06,1.3917553207824597e-06,-1.8778682166426442e-12,-1.1044022960605139e-12,-7.542092134060325e-13,-1.0787262668568683e-11,-7.842252637449275e-12,-5.0779409827117336e-12,2.7862786182478827e-12,6.591952015363193e-12,1.3086485876497449e-11,-2.5827890606565725e-05,-5.056011642982075e-07,4.841751953196445e-08,9.730386468372165e-06,1.2243914302501928e-05,3.24579508155857e-05,1.341759343631583e-07,4.93076959173777e-07,5.853451398252232e-07,8.96085562089865e-06,9.831473107624323e-06,1.0826751349668488e-05,4.788115804901726e-07,1.234623054030763e-06,1.5446564180639663e-06,5.403200073053039e-06,5.705942481418097e-06,5.883143406445611e-06,-1.877868216652594e-12,-1.1044022960757196e-12,-7.542092134258417e-13,-1.0787262668522846e-11,-7.842252637459534e-12,-5.077940982729051e-12,2.786278618255898e-12,6.59195201528894e-12,1.308648587638282e-11
hus,20000.0,200.0,8.38562375280005e-06,1.3276979466551935e-05,1.815583772355793e-05,-0.0001436349557479,-7.765876944176853e-06,-1.4023137282492826e-06,4.948881542077288e-05,6.695983756799251e-05,0.0001770145318005,3.869768440552225e-06,5.108910355564491e-06,6.184895929387471e-06,2.0914069586256523e-05,2.1863727504930915e-05,2.2572128354146105e-05,-2.4934447537816595e-06,1.2499465356086148e-06,1.443392989131098e-06,4.34563153248746e-05,5.225706263445318e-05,6.476903217844665e-05,-8.93043543119283e-08,-4.250348824985348e-08,-3.6932571845937235e-09,-2.997486488315659e-06,-1.7122549832103932e-06,-1.0665394559388648e-06,5.861884027857285e-07,9.649924569328283e-07,2.2161120409352047e-06,-0.0001430898448975,-2.572116099427052e-05,-1.3960132597745413e-05,1.563818492617454e-05,2.973234045308513e-05,0.0001681995873686,-8.0961724728206e-20,-2.964505627670262e-20,-1.4332528719008018e-20,1.4631427755431182e-20,2.993755686280478e-20,8.2753290818082e-20,-9.16786468048237e-06,-4.2139822394705576e-06,-2.896151766397397e-06,2.7397965305572506e-06,3.78734499621664e-06,4.475423310347909e-06,-4.9756341680992605e-12,-1.896480975397512e-12,1.7669102209102358e-13,-7.794726568273225e-11,-4.559460646539668e-11,-2.5766733980569405e-11,2.325431862967345e-11,5.857989980497202e-11,9.874290361011174e-11,-0.0001436022985495,-7.6883363351123e-06,-1.4022557604717316e-06,4.946354897792674e-05,6.692227361661855e-05,0.0001781185729659,-2.493423380656156e-06,1.24994560792402e-06,1.4433920568990306e-06,4.345624183770267e-05,5.225706965575227e-05,6.476908311014994e-05,3.74253338598249e-06,5.110951902592076e-06,6.183905683807842e-06,2.0895635300443185e-05,2.1881813975196117e-05,2.256989228932738e-05,-4.975634168136574e-12,-1.8964809754564435e-12,1.766910220106107e-13,-7.794726568298872e-11,-4.559460646581147e-11,-2.57667339800382e-11,2.3254318629829844e-11,5.8579899804722e-11,9.874290361021181e-11
hus,25000.0,250.0,1.9271276037536188e-05,3.0613801523536636e-05,4.189086390639217e-05,-0.0004268347402103,-3.977590677095577e-05,-1.1089356121374294e-05,0.0001243653387064,0.0001866998063633,0.0006093154661357,1.0271356388969206e-05,1.1932740904994944e-05,1.4108150790259315e-05,4.747983651596808e-05,4.968100098005394e-05,5.246905689644512e-05,-9.93173489405308e-06,1.2904588402307129e-06,1.912163497763686e-06,9.933563705999404e-05,0.0001365350908599,0.0001858497707871,-6.430410638939518e-07,-5.115627278766834e-07,-3.9690387464338747e-07,-1.0893313362020218e-05,-6.1741815832016285e-06,-3.6756222927889726e-06,1.5328548602725736e-06,2.8522564872109443e-06,8.028384808940545e-06,-0.0004216644779332,-8.507124196491218e-05,-4.404463287078254e-05,4.807935964750104e-05,9.635751360889408e-05,0.0005875420815938,-2.315142138998948e-19,-8.135513801651346e-20,-3.9975080100634604e-20,4.0317549536862497e-20,8.282641596460755e-20,2.4233673558567635e-19,-1.7143173443372666e-05,-8.379043846903463e-06,-6.361100196889705e-06,5.429979682827676e-06,7.588723213929691e-06,1.0430744045488551e-05,-1.1814099495421195e-11,-5.942291131415378e-12,-1.3387846978351633e-12,-2.9000637114221346e-10,-1.5131203819622215e-10,-8.135083137805333e-11,6.834771137036061e-11,1.6222526564893727e-10,3.217474660077066e-10,-0.0004258227822971,-3.9418740345842514e-05,-1.1028963357930671e-05,0.0001242665820893,0.0001864619246322,0.0006125914865334,-9.931769454851763e-06,1.2904532286484108e-06,1.912179777718842e-06,9.933559813362075e-05,0.000136534935591,0.0001858498289948,1.0214258596673205e-05,1.2562421936294984e-05,1.4447419372697096e-05,4.7227491356216016e-05,4.939931203477097e-05,5.232159179968933e-05,-1.1814099495503799e-11,-5.942291131549847e-12,-1.338784698012799e-12,-2.9000637114408677e-10,-1.5131203819588903e-10,-8.135083137718719e-11,6.834771136928223e-11,1.622252656489009e-10,3.2174746600694147e-10
hus,30000.0,300.0,3.2899211520373887e-05,5.364711634594538e-05,7.424091644568591e-05,-0.0009508249349892,-0.0001153552584582,-3.859230491798371e-05,0.0002376293850829,0.0003841503057628,0.0014269343810155,1.3758158789432084e-05,1.9212908194343252e-05,2.347532305863221e-05,8.352670494445834e-05,8.732055954139157e-05,9.41284104478509e-05,-3.0483175578410737e-05,-1.564592935210385e-06,-3.164363704399875e-08,0.0001696540566626,0.0002609076327644,0.0003439393185544,-1.6185600141957246e-06,-1.3665567692441644e-06,-1.1020723029554749e-06,-2.636558741413996e-05,-1.3357822674899957e-05,-7.783436537120992e-06,2.9185983907512477e-06,6.14583514600444e-06,1.9834077349713267e-05,-0.0009120091002268,-0.0001936124181422,-9.909130495362316e-05,0.0001067366450783,0.0002234970470846,0.0014014605910223,-6.145437314007315e-19,-1.6774031111203118e-19,-8.307016645302606e-20,8.365516762523048e-20,1.662378331014195e-19,5.417110854612827e-19,-2.231143679261564e-05,-1.462189052605778e-05,-1.0666827130630032e-05,8.84467396885205e-06,1.2673324393266267e-05,1.8808357953418862e-05,-2.5041858447358912e-11,-1.543405126920808e-11,-5.533795650868578e-12,-6.387336541519671e-10,-3.3412923204163276e-10,-1.9323355874111907e-10,1.457210655513791e-10,3.3549104611884987e-10,7.244638619823991e-10,-0.0009216255204738,-0.0001147248261575,-3.847474347935416e-05,0.0002374276528841,0.0003835893650909,0.0014200389629867,-3.048317739740026e-05,-1.5646590327378236e-06,-3.1642593967252896e-08,0.0001696535560768,0.0002609073967323,0.0003439391439314,1.5696472384955036e-05,2.0366848737983897e-05,2.387416165366236e-05,8.304144235879337e-05,8.672580110743304e-05,9.286083466758566e-05,-2.5041858447503963e-11,-1.5434051269447888e-11,-5.533795651200921e-12,-6.387336541544432e-10,-3.34129232044374e-10,-1.932335587424613e-10,1.457210655485715e-10,3.3549104611971583e-10,7.24463861984725e-10
hus,40000.0,400.0,7.804392227093688e-05,0.00012787363833160359,0.0001775590083234,-0.0025448033120483,-0.0004099451180081,-0.000151477754116,0.000612445641309,0.0010078459745272,0.0034356112591922,2.156502005445093e-05,3.5105113762654255e-05,4.736015357201733e-05,0.0002067460362394,0.000214552554922,0.0002291188214236,-0.0001433458674,-8.93119977263268e-06,3.3130045267171222e-06,0.0004165412683505,0.0006120958132669,0.0008094617514871,-7.259828645760391e-06,-6.825281414099458e-06,-6.442304695507993e-06,-9.926247407610536e-05,-5.284369527624585e-05,-3.088871556794025e-05,6.818321766304516e-06,1.5682386939881493e-05,4.965050118580893e-05,-0.0023929828252093,-0.0005743883524862,-0.0002888231384259,0.0003060954652763,0.0006331022189699,0.0031674309587474,-1.882143771372318e-18,-4.857908234102631e-19,-2.363502235901179e-19,2.308804626300067e-19,4.616458750294791e-19,1.8462636994771144e-18,-5.063774288394684e-05,-3.9609765395168855e-05,-2.839090786586884e-05,2.681509581159144e-05,3.625146124544635e-05,4.796046239415574e-05,-5.631448997444951e-11,-4.207651925956263e-11,-1.9316342932250327e-11,-1.7289852151425771e-09,-9.887055856847526e-10,-5.761727791120034e-10,4.4159101496244915e-10,8.423628098246286e-10,1.7413662517798462e-09,-0.0024550129250073,-0.0004063112041,-0.0001507301096112,0.0006117017456928,0.001005255577832,0.0034280850113842,-0.0001433457946404,-8.93098447704682e-06,3.3129806979559182e-06,0.000416540770675,0.0006120958941755,0.000809462275356,3.0612844299057714e-05,4.236126366609638e-05,5.361384848087823e-05,0.0002039991275378,0.0002134354929717,0.0002229644358752,-5.631448997478909e-11,-4.2076519260115835e-11,-1.9316342932961816e-11,-1.7289852151381083e-09,-9.887055856916964e-10,-5.76172779111081e-10,4.415910149713349e-10,8.423628098282087e-10,1.741366251786129e-09
hus,50000.0,500.0,0.0001757375164707,0.00028389709965530004,0.0003922399999547,-0.0043486054055392,-0.0007980396039783,-0.0002932742063421,0.0013432351406663,0.002097847405821,0.0057636438868939,7.043336528834372e-05,9.720028770568678e-05,0.0001190334342124,0.0004548878723456,0.000475371504254,0.000497853203794,-0.0002587110793683,-1.7473194020567462e-05,1.3176509128243197e-05,0.000992126064375,0.0013555156765505,0.001705122878775,-1.2075686268043202e-05,-1.08566396580245e-05,-1.0237368370560325e-05,-0.0001597822141325,-8.94461163068167e-05,-5.330771979656669e-05,1.5546612029012712e-05,4.2145515761607885e-05,9.154734473297023e-05,-0.0049608620983488,-0.0011486535262691,-0.000583868793339,0.0006203871682186,0.0012530181431172,0.0050863534127196,-3.3891067909708752e-18,-1.104802013762729e-18,-5.017457553801847e-19,5.007610034069741e-19,1.0764021568561124e-18,3.4366868863101677e-18,-0.0001159960028463,-8.809704565091052e-05,-6.388703195170041e-05,5.866501791759869e-05,8.39607630152947e-05,0.0001060094708127,-8.763723576482481e-11,-5.870481509483407e-11,-2.230564604031192e-11,-4.0884162310943275e-09,-2.0554499759881863e-09,-1.1283198324783522e-09,9.366942536822879e-10,2.026726259092572e-09,3.6205938302561693e-09,-0.0043185423519128,-0.0007929018896522,-0.0002920892071477,0.001341345433019,0.0020944990797413,0.0058176403746398,-0.0002587110502645,-1.747311034705503e-05,1.3176446373108747e-05,0.0009921253018546,0.0013555157277733,0.0017051240429282,9.076681427407554e-05,0.0001059747757827,0.0001262254551948,0.0004503223064501,0.0004753709718098,0.0004962816027397,-8.763723576553864e-11,-5.870481509608298e-11,-2.2305646042126088e-11,-4.088416231122238e-09,-2.055449975988036e-09,-1.1283198325110955e-09,9.366942536387575e-10,2.026726259061823e-09,3.6205938302541853e-09
hus,60000.0,600.0,0.0002343154129863,0.00037692457050386,0.0005198912607643,-0.0060282945632934,-0.0011926556471735,-0.0004860353656113,0.001687301788479,0.002622042549774,0.0068278503604233,7.220062223769764e-05,0.000117640993126,0.0001594235664457,0.0006121110196971,0.0006445056051687,0.0006757945623752,-0.0005165086477063,-1.976896783162374e-05,2.349616988794878e-05,0.0011448541190475,0.001466496149078,0.0019568749703466,-1.1279250164678184e-05,-9.711616633227848e-06,-7.933295047802891e-06,-0.0001736577127838,-0.0001050205924115,-6.700693294371961e-05,3.531533754218184e-05,7.694055749672244e-05,0.000182331804283,-0.007071183053076,-0.0015843731027856,-0.0008361342056143,0.0008838582379129,0.0016919760962318,0.0063627230901909,-6.4178528598638354e-18,-1.8189636447742422e-18,-8.779112591271564e-19,8.861207755770882e-19,1.816483239804089e-18,5.951411925226186e-18,-0.0002079220457878,-0.0001365041512417,-0.0001041830217444,9.09432345189942e-05,0.0001196182512213,0.0001544099908299,-1.1727201033074239e-10,-7.956804475424695e-11,-4.069425847398425e-11,-4.9883597707139825e-09,-2.544614571762285e-09,-1.4731239723517724e-09,1.2228788344360186e-09,2.3680050309287067e-09,4.8074608355601125e-09,-0.0059825791877207,-0.001187787226226,-0.0004836027076465,0.0016853319990155,0.0026178612343875,0.0068207617771609,-0.0005165098700672,-1.9769022474064967e-05,2.349612768739466e-05,0.0011448552715592,0.0014664966100826,0.0019568777643144,8.445746629722621e-05,0.0001197933100176,0.0001612532272424,0.0006087083500765,0.0006373833667789,0.000673453883148,-1.1727201033175496e-10,-7.956804475590798e-11,-4.0694258474859496e-11,-4.98835977069313e-09,-2.5446145717845953e-09,-1.473123972324391e-09,1.2228788344626371e-09,2.3680050309178652e-09,4.807460835528332e-09
hus,70000.0,700.0,0.0003331579616726,0.0005401424951309499,0.0007487407604566,-0.0079443678259849,-0.0015070589724928,-0.0006424877792596,0.0022755749523639,0.0033766555134207,0.0096082082018256,0.0001275395658859,0.0001703399128852,0.000216153758319,0.0008886771182668,0.0009435209962185,0.0010200942305264,-0.0009285313426516,-2.121648685715627e-05,1.3157802641217131e-05,0.0016166613204404,0.001984525239095,0.0026553145144134,-1.7077299725172096e-05,-1.3408507883270844e-05,-1.178191679414895e-05,-0.000227318269904,-0.0001345854604398,-8.631670012700473e-05,4.641331795179494e-05,9.680935685930636e-05,0.0002524050304117,-0.009404961121243,-0.0020792239324143,-0.0011134073672132,0.0011499294085995,0.0021287421191164,0.0088741429860969,-8.080816192050234e-18,-2.781485573441229e-18,-1.3868817789840654e-18,1.4118418289981172e-18,2.8672857453645426e-18,8.275816582785038e-18,-0.0002886366202965,-0.0002187514026366,-0.0001620857203234,0.0001440672787095,0.0001916951208081,0.0002622694115476,-2.0543469164470928e-10,-9.055462646367513e-11,-3.012241867668846e-11,-7.461818981795248e-09,-3.4504881116125222e-09,-1.853276513445127e-09,1.5786384119625499e-09,3.245144363039065e-09,6.901923540205423e-09,-0.0077639907682058,-0.0015012978225255,-0.0006391408850863,0.0022723316372082,0.0033720523705053,0.0097415554116745,-0.0009285351261496,-2.1218330075498173e-05,1.315775080001908e-05,0.0016166598303243,0.0019845238048583,0.002655308227986,0.0001449872077604,0.0001789317505742,0.000223766700832,0.0008885602001826,0.0009383363483406,0.0010110096621547,-2.0543469164623716e-10,-9.055462646598214e-11,-3.0122418678021306e-11,-7.461818981802881e-09,-3.450488111620675e-09,-1.8532765134055874e-09,1.5786384119483087e-09,3.2451443630206086e-09,6.901923540202109e-09
