var,plev_pa,plev_hpa,global_mean_min,global_mean_mean,global_mean_max,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,spatial_min,spatial_p01,spatial_p05,spatial_p95,spatial_p99,spatial_max,temporal_min,temporal_p01,temporal_p05,temporal_p95,temporal_p99,temporal_max,slope_mean_min,slope_mean_mean,slope_mean_max,slope_min,slope_p01,slope_p05,slope_p95,slope_p99,slope_max,raw_detrended0_min,raw_detrended0_p01,raw_detrended0_p05,raw_detrended0_p95,raw_detrended0_p99,raw_detrended0_max,temporal_detrended0_min,temporal_detrended0_p01,temporal_detrended0_p05,temporal_detrended0_p95,temporal_detrended0_p99,temporal_detrended0_max,spatial_detrended0_min,spatial_detrended0_p01,spatial_detrended0_p05,spatial_detrended0_p95,spatial_detrended0_p99,spatial_detrended0_max,slope_mean_detrended0_min,slope_mean_detrended0_mean,slope_mean_detrended0_max,slope_detrended0_min,slope_detrended0_p01,slope_detrended0_p05,slope_detrended0_p95,slope_detrended0_p99,slope_detrended0_max,raw_detrended1_min,raw_detrended1_p01,raw_detrended1_p05,raw_detrended1_p95,raw_detrended1_p99,raw_detrended1_max,temporal_detrended1_min,temporal_detrended1_p01,temporal_detrended1_p05,temporal_detrended1_p95,temporal_detrended1_p99,temporal_detrended1_max,spatial_detrended1_min,spatial_detrended1_p01,spatial_detrended1_p05,spatial_detrended1_p95,spatial_detrended1_p99,spatial_detrended1_max,slope_mean_detrended1_min,slope_mean_detrended1_mean,slope_mean_detrended1_max,slope_detrended1_min,slope_detrended1_p01,slope_detrended1_p05,slope_detrended1_p95,slope_detrended1_p99,slope_detrended1_max
hus,5000.0,50.0,1.3846207623899983e-06,2.2780269353562955e-06,3.486169576222628e-06,1.2620251510497836e-08,5.129601845510479e-07,9.243086083188246e-07,4.204840024613077e-06,4.572919351630844e-06,5.108342520543374e-06,1.2530566787307509e-06,1.2645417815366396e-06,1.2824151523115911e-06,3.7509452417497703e-06,3.830758264405779e-06,4.00466425903774e-06,7.972538469402934e-07,1.0128270560016972e-06,1.0886469681281596e-06,3.859217031276785e-06,3.886010290443664e-06,3.897872375091538e-06,-5.564248803122048e-07,-1.0063212436706014e-07,1.2444070104244488e-08,-6.75124660950753e-07,-6.658029531598926e-07,-6.564660736291577e-07,3.4884084819541014e-08,3.710265453528704e-08,3.925068351125992e-08,-1.7429758373702648e-06,-1.2113494861950707e-06,-9.714111758212905e-07,1.2006287498739012e-06,1.7128685305698509e-06,2.4887970284056102e-06,-3.2072788083872293e-21,-2.2732532881716762e-21,-1.924558058218656e-21,1.382478774625769e-21,1.723308698639999e-21,3.3378582507808847e-21,-1.1032351143671991e-06,-1.0460175747867295e-06,-9.278923831075062e-07,1.2378324790990186e-06,1.5207583042269894e-06,1.6977862372673285e-06,-2.0666456380812592e-13,6.306782288596234e-13,2.4907385834133598e-12,-5.549686670889333e-12,-4.9367800757812595e-12,-3.660279098004862e-12,4.661672469453984e-12,5.396635163915965e-12,6.698537404499886e-12,-2.6281972531018085e-08,5.144942934343183e-07,9.12518422327184e-07,4.203051547407903e-06,4.572521087847951e-06,5.065522122348715e-06,7.972538469402929e-07,1.0128270992026965e-06,1.088646916969082e-06,3.85921698580205e-06,3.886010417772923e-06,3.897872375091538e-06,9.19308743321553e-07,9.452396016660726e-07,1.044054643171411e-06,3.666999019832862e-06,3.7077187096262666e-06,3.7700744837301775e-06,-2.0666456393650173e-13,6.30678228799476e-13,2.490738583428109e-12,-5.549686670907466e-12,-4.936780075779406e-12,-3.6602790980675806e-12,4.661672469441317e-12,5.396635163916613e-12,6.698537404558456e-12
hus,10000.0,100.0,2.0488471622795776e-06,2.782271116484261e-06,3.811306605218494e-06,-2.402991015060252e-07,5.334778165888565e-07,9.58917894422484e-07,5.131504167366074e-06,5.693187176802894e-06,7.370848379650852e-06,1.647687021927254e-06,1.6782014619679757e-06,1.722890375832294e-06,4.407703700026756e-06,4.638691172910817e-06,4.964791584429336e-06,6.035591582076449e-07,8.559326829526981e-07,9.817383670451818e-07,4.216608431306668e-06,4.3632317101582885e-06,4.483415523282019e-06,-3.316496574451719e-07,-5.43114394651326e-08,2.554977242389208e-08,-4.560602200837635e-07,-4.448214099893861e-07,-4.285377910724701e-07,4.7243474461909546e-08,6.060426923207833e-08,8.383633611259995e-08,-2.595099496371532e-06,-1.2308019656051862e-06,-8.966433979106038e-07,1.2099370254900969e-06,1.8342870306389565e-06,3.981299258654986e-06,-4.4885115277025166e-21,-2.3571934901518324e-21,-1.948938871430165e-21,1.4197885592072082e-21,1.7947216430739792e-21,3.3104363208338032e-21,-9.678884936051482e-07,-8.132126022274033e-07,-6.907544529970972e-07,1.0271190457430986e-06,1.6875425459437885e-06,2.0166783104847417e-06,-1.0310181835106018e-12,2.1190710443841826e-13,1.2401836592007014e-12,-1.1796341147343191e-11,-6.993668953205885e-12,-3.2668792086040583e-12,4.74612251773155e-12,6.4277896289693055e-12,1.0042379876029588e-11,-2.5241863026337805e-07,5.3256725187597e-07,9.59935472460234e-07,5.12959720929356e-06,5.692430653964442e-06,7.453326430613832e-06,6.035591582076439e-07,8.559327056900653e-07,9.8173839546689e-07,4.216608294882463e-06,4.363231500974505e-06,4.48341552328202e-06,1.6336125020818206e-06,1.6823511049934757e-06,1.7209042215458097e-06,4.409973023975405e-06,4.514219128056826e-06,4.607704590477577e-06,-1.0310181836026611e-12,2.1190710436861927e-13,1.240183659222807e-12,-1.1796341147285007e-11,-6.993668953175624e-12,-3.266879208650185e-12,4.7461225177406094e-12,6.427789629020004e-12,1.0042379875979912e-11
hus,15000.0,150.0,6.1787299351174535e-06,7.569628243546866e-06,1.100202840432147e-05,2.1582715703516442e-07,1.172238398794434e-06,1.475998601563333e-06,2.072296592814382e-05,2.480930925230496e-05,4.791960236616433e-05,4.909247509923035e-06,5.083854617439062e-06,5.233076359419158e-06,1.24648739335245e-05,1.2805490226664396e-05,1.3480435562801895e-05,7.937459258755553e-07,1.3143423984729452e-06,1.5285779682017164e-06,1.970645462279208e-05,2.1341766114346683e-05,2.3057851649355143e-05,-4.9173454923424273e-08,6.118428201105614e-08,1.6547308688221526e-07,-3.540610162384701e-07,-3.316195485105878e-07,-3.2140560296063573e-07,4.2895714667623634e-07,5.253811565886403e-07,6.454662405717352e-07,-1.5578523737754722e-05,-6.706763968253642e-06,-3.8789546140634745e-06,4.268313271513779e-06,8.366930841363002e-06,3.502425240861463e-05,-1.7349676656552952e-20,-9.709592090868212e-21,-7.31668586023755e-21,4.8724561918247364e-21,6.927156447352402e-21,1.2705494208814504e-20,-2.851628974181836e-06,-1.7051060909405971e-06,-1.3949046054984715e-06,1.4339818576102486e-06,1.7848843567768923e-06,2.1846367759391278e-06,-1.0608930597485074e-12,1.0638752948504903e-12,2.762178174768037e-12,-5.257683782406024e-11,-3.786181650931371e-11,-2.183182271052927e-11,2.0569423988353863e-11,3.407852265322181e-11,8.680311366742392e-11,1.7459450268714497e-07,1.1721768571001216e-06,1.476230461811208e-06,2.0712615431033183e-05,2.474697186303581e-05,4.82470704421625e-05,7.937459258755547e-07,1.314342417799707e-06,1.5285779170426385e-06,1.970645544133732e-05,2.134176582330838e-05,2.305785164935516e-05,4.912443292290073e-06,5.080414316599471e-06,5.242200326006316e-06,1.2436010267814774e-05,1.2779450474586906e-05,1.3175504588099396e-05,-1.0608930596877157e-12,1.0638752946667142e-12,2.7621781747526585e-12,-5.2576837823876986e-11,-3.786181650935524e-11,-2.183182271078229e-11,2.056942398830634e-11,3.4078522653285605e-11,8.68031136672056e-11
hus,20000.0,200.0,2.6245745460524537e-05,3.12902362240549e-05,4.437820803620891e-05,-5.050662366556935e-06,1.8343384908803275e-06,2.4776302325335564e-06,0.0001064260432031,0.0001320155570283,0.0002452694170642,2.1143394909043716e-05,2.175951687956794e-05,2.270620484913537e-05,4.96985643632959e-05,5.116836686831132e-05,5.351274995480334e-05,1.032924046739936e-06,2.1864161681151018e-06,2.7588423563429387e-06,9.82146812020801e-05,0.0001130233285948,0.0001267607003683,6.48226871913793e-08,4.810313421751569e-07,6.991730214213407e-07,-2.359416482091725e-06,-5.801436655721837e-07,-3.937279669441599e-07,2.2713271846971595e-06,3.1092637062319205e-06,4.137553000887766e-06,-0.0001023522227566,-3.738383832007591e-05,-2.139252286085512e-05,2.360604335803539e-05,4.5480277797295805e-05,0.0001969672113133,-8.580825302058701e-20,-5.2090664309841006e-20,-3.743427771216843e-20,2.313609993071746e-20,3.6043268650782994e-20,8.258266547618907e-20,-9.651578254435252e-06,-5.2202003893606286e-06,-4.438668811576612e-06,5.370958806790692e-06,6.274744026636555e-06,7.804799502124974e-06,-4.615495388186215e-12,5.795269407867353e-12,1.1435988877960446e-11,-3.338612543238749e-10,-1.9976685388835647e-10,-1.0147374082997033e-10,1.0544676272159943e-10,1.8417896641151663e-10,4.425795241447453e-10,-4.63028091315876e-06,1.8304122791901335e-06,2.4664017419221195e-06,0.0001064083596415,0.0001317745751949,0.0002429362007613,1.0329240467399342e-06,2.1864161408302588e-06,2.7588422881308376e-06,9.821468447626106e-05,0.0001130233305593,0.0001267607003683,2.1262613515905343e-05,2.2036247280823243e-05,2.308556713325608e-05,4.948191176776422e-05,5.049541920633915e-05,5.212563026452237e-05,-4.615495387915266e-12,5.795269407128699e-12,1.1435988878218828e-11,-3.338612543252382e-10,-1.9976685388808557e-10,-1.0147374082970687e-10,1.0544676272167388e-10,1.8417896641089144e-10,4.4257952414638253e-10
hus,25000.0,250.0,7.80164373371927e-05,9.090692756149369e-05,0.0001198526302401,-3.4981785574927926e-05,3.979172561230371e-06,6.062822194508044e-06,0.000297750957543,0.0003866718907374,0.0007967088022269,6.42725264828593e-05,6.736578706179695e-05,6.93498023659563e-05,0.0001329801989004,0.0001362313426787,0.0001415315049265,1.3466145674101426e-06,5.826576398249017e-06,7.971364539116621e-06,0.0002686200896278,0.0003247844288125,0.0003822880680672,2.936364924846847e-07,1.408003357487524e-06,2.4004931516145317e-06,-9.182781864834142e-06,-3.056646664886123e-06,-9.094716898394152e-07,6.696089835132256e-06,9.693116934912566e-06,1.320000087012275e-05,-0.0003141976815131,-0.0001171944415588,-6.598411750917546e-05,7.257247974203833e-05,0.0001430718099254,0.0006965432200637,-3.3981435658351983e-19,-1.6987836390969835e-19,-1.1305982113981725e-19,7.034406952435715e-20,1.1216329617736946e-19,2.517455044386306e-19,-1.996566526298666e-05,-1.5728623422737566e-05,-1.0076339618803417e-05,1.360280737124268e-05,1.5579403138405556e-05,1.858041327551132e-05,-3.700344734432736e-12,2.069222067287963e-11,3.7144519980182806e-11,-1.3234280751434967e-09,-6.619436510556071e-10,-3.317956315065528e-10,3.5398951232265665e-10,6.015835152678288e-10,1.5579276102469843e-09,-3.525258373867534e-05,3.922876720938011e-06,6.054956662766534e-06,0.0002977403698788,0.0003862153083023,0.0007967863436612,1.3466145674101426e-06,5.826576611980268e-06,7.971364766490298e-06,0.0002686200969037,0.0003247844363795,0.0003822880680672,6.633617441274997e-05,6.866342674904259e-05,7.089768010873346e-05,0.0001322494332473,0.0001346475143705,0.0001384330435885,-3.700344733580337e-12,2.069222067078377e-11,3.714451998099837e-11,-1.3234280751393823e-09,-6.619436510537116e-10,-3.317956315065693e-10,3.5398951232253805e-10,6.015835152660323e-10,1.5579276102443164e-09
hus,30000.0,300.0,0.0001701351993525,0.00019473855086787745,0.0002442520127445,-6.539261084981263e-05,7.897358955233358e-06,1.2561005860334262e-05,0.0006052863318473,0.0008348184055648,0.00188530376181,0.0001433764785419,0.0001471585339889,0.0001513946873982,0.0002671294876208,0.0002730200481915,0.0002812706568396,2.412496996839764e-06,1.545240775158163e-05,1.7363046936225146e-05,0.0005342559306882,0.0006681295926682,0.0008092179195955,7.476944834923282e-07,2.903743170358233e-06,5.6348035835582335e-06,-1.941700498032173e-05,-7.22756828484354e-06,-2.360085504556454e-06,1.4066029277651164e-05,2.1314552747867805e-05,3.1229215932605274e-05,-0.0006326313918407,-0.0002676297801273,-0.0001472381474687,0.0001620914994142,0.0003327337964864,0.001572508221035,-7.622625003672862e-19,-3.5866579976277227e-19,-2.369616640044895e-19,1.4791615353195097e-19,2.4007333819321885e-19,6.190278118143429e-19,-4.217470571085596e-05,-3.386466617119377e-05,-1.814114544715332e-05,2.4783683839315394e-05,2.998455160486623e-05,3.459038642911052e-05,2.1598042846088367e-11,4.724300045293916e-11,1.0067118566091044e-10,-3.1962987464670754e-09,-1.5926158053013111e-09,-7.615115609427032e-10,8.512365942073043e-10,1.540355306093231e-09,3.648723800347195e-09,-8.854222702390948e-05,7.873533129270322e-06,1.242283011952814e-05,0.0006052103286502,0.0008342185933404,0.0018640738824795,2.412496996839764e-06,1.5452408042619926e-05,1.7363047845719848e-05,0.0005342559510609,0.0006681295862654,0.0008092179195955,0.0001483853847951,0.0001527716047595,0.0001564844423078,0.0002666289436872,0.000270588466298,0.0002771620410159,2.1598042847974103e-11,4.724300044853081e-11,1.0067118566272332e-10,-3.1962987464672115e-09,-1.5926158052965702e-09,-7.615115609407186e-10,8.512365942056255e-10,1.5403553060948675e-09,3.6487238003567685e-09
hus,40000.0,400.0,0.000506079668452,0.0005638063122747743,0.0006832243112973,-0.0001221481070388,2.862628025468439e-05,4.2451629269635305e-05,0.0016906999517232,0.0023174136877059,0.0044374126009643,0.0004324713019647,0.0004480972569467,0.0004558889767232,0.0007406722922301,0.0007573277754835,0.0007805173833629,3.1480976758757606e-05,4.846198862651363e-05,5.609694198938087e-05,0.0014650424709543,0.0018675759201869,0.0024550361558794,2.307246888667132e-06,7.073609647047569e-06,1.3814739569654457e-05,-5.035587072331068e-05,-2.102985630119099e-05,-6.99900318949516e-06,4.641809368452503e-05,7.422725713844448e-05,0.0001103781606928,-0.0019937483764972,-0.0007732794586958,-0.0004138715797097,0.0004599031244752,0.0009284576920875,0.0039750346044113,-2.2047397691299826e-18,-9.870771930050822e-19,-6.681029603424191e-19,4.161271195349127e-19,6.796450389912567e-19,1.752277225436096e-18,-0.0001025586934354,-8.508860371285724e-05,-4.4502370629490526e-05,5.531956621932163e-05,7.165517642151926e-05,9.666844315832512e-05,3.974389496075418e-11,9.755846424532282e-11,2.1336089835539726e-10,-1.0138704028530644e-08,-4.897841852482533e-09,-2.4109393437892332e-09,2.4224897286468374e-09,4.5834228716992805e-09,1.1369447797861794e-08,-0.0001192712780067,2.8523695549750477e-05,4.2363038113234486e-05,0.0016904575995114,0.0023163580636632,0.0044442218498827,3.148097675875758e-05,4.846198913583067e-05,5.6096940716088265e-05,0.0014650424709543,0.0018675759295001,0.0024550361558794,0.0004380413004093,0.0004601397462402,0.0004704225575239,0.0007385438758606,0.0007544173827602,0.000765800156677,3.9743894966196647e-11,9.755846423261676e-11,2.1336089836054475e-10,-1.0138704028504436e-08,-4.897841852498858e-09,-2.4109393437739267e-09,2.4224897286383356e-09,4.583422871753809e-09,1.1369447797898511e-08
hus,50000.0,500.0,0.0011137349173537,0.0012404692544255517,0.0015051556767949,-0.0003938623121939,7.203939458122477e-05,0.0001071024453267,0.0038711589295417,0.0048539047129452,0.0079804426059126,0.0009555579870623,0.0009876679270957,0.0010038642724033,0.001654290814459,0.0016829460018701,0.0017401954884901,7.578405347885564e-05,0.0001118231084547,0.0001336478599114,0.0034419160801917,0.0041585192084312,0.0051449257880449,5.388492679093161e-06,1.4028070012372578e-05,2.547570941136383e-05,-0.0001091318517949,-4.475063151550831e-05,-1.3943748346200592e-05,8.180361955861492e-05,0.0001326812351455,0.0001967937715026,-0.0039024543763102,-0.0016390164616368,-0.0008752474270038,0.0009798429263709,0.0018372314429001,0.0068252000114901,-4.888482011581489e-18,-2.230135495692706e-18,-1.494050128859304e-18,9.200229863662711e-19,1.4838081160587333e-18,3.761665251775898e-18,-0.0002221743473231,-0.000167236838685,-0.0001245143362272,0.0001436999893078,0.0001740098830062,0.0002048528876828,1.1512057440859932e-11,1.871727936489699e-10,3.4639160742009927e-10,-1.7940598841280018e-08,-9.060458603315946e-09,-5.081323231972977e-09,4.509211038400255e-09,9.042530166011664e-09,1.7795063904271455e-08,-0.000442244199885,7.175136592249102e-05,0.0001069777233241,0.0038702387553301,0.0048521772270406,0.0079325036099023,7.578405347885557e-05,0.0001118231049622,0.0001336478657322,0.0034419160801917,0.0041585193714126,0.0051449257880449,0.0009697363286985,0.001006754227122,0.0010267127865133,0.0016488556632292,0.001678029707967,0.0017088727126436,1.1512057443182682e-11,1.8717279362099715e-10,3.46391607378397e-10,-1.794059884122893e-08,-9.060458603287294e-09,-5.081323231949476e-09,4.509211038398926e-09,9.04253016607921e-09,1.7795063904253886e-08
hus,60000.0,600.0,0.002009486004342,0.002202116762536842,0.0025284686284766,-0.000415165326558,0.0001031301653711,0.0001912295556394,0.0059303911402821,0.0068269735202193,0.011235948652029,0.0017644597077761,0.0017897893930867,0.0018260003953842,0.0027906064129281,0.0028451185215542,0.0029024029782641,6.518916779896244e-05,0.0001569999731145,0.0002216484717791,0.0054441122338175,0.0061456756666302,0.0077708009630441,9.632287080111118e-06,1.9391825043582686e-05,3.0295909250442533e-05,-0.0001783507397044,-7.049766350611072e-05,-2.0373054633956985e-05,9.615120779275956e-05,0.0001458256344644,0.0002199682347289,-0.0057039425713984,-0.0023625197154076,-0.00132541558095,0.0014644682017714,0.0024337823000159,0.0076841890072597,-7.809381269780277e-18,-3.784213308076577e-18,-2.7052309341584267e-18,1.684179003269026e-18,2.645453300864631e-18,5.745238940675569e-18,-0.0003964608016421,-0.0002717863215385,-0.0002235398060655,0.0002607406833448,0.000291759801443,0.0003359019353083,-2.5324257067510554e-10,1.441759782043552e-10,3.86193396722195e-10,-2.3790732931845296e-08,-1.27782673243623e-08,-7.723519474742052e-09,6.321725408449362e-09,1.1383163024802977e-08,2.2596698672241465e-08,-0.0003788423715333,0.000103093952228,0.0001908825370089,0.0059286601412916,0.0068238506338335,0.0112518666788408,6.518916779896246e-05,0.0001569999739876,0.0002216484652308,0.005444112420082,0.0061456757504492,0.0077708009630441,0.0017912002313662,0.001824384546322,0.0018462515135973,0.0027892093074803,0.0028202284255784,0.0028619245692424,-2.532425706532994e-10,1.441759781555479e-10,3.861933966469258e-10,-2.379073293177092e-08,-1.2778267324375846e-08,-7.723519474514924e-09,6.3217254083691624e-09,1.1383163024813525e-08,2.25966986722679e-08
hus,70000.0,700.0,0.0031823669634949,0.003470332883963403,0.0039286166189508,-0.0006638818886131,2.0994646547478624e-05,0.0002069457841571,0.0088157523423433,0.009854638017714,0.0144423898309469,0.0027957865717396,0.0028387416309762,0.0028872834286011,0.0043210953049499,0.0043861752557776,0.0044594861892447,1.8677359548746608e-05,8.054605132201687e-05,0.0001788154768291,0.0082406252622604,0.0090890135616064,0.0113671580329537,1.5330003133179094e-05,3.0030258039206703e-05,5.095936746506055e-05,-0.0003001894837271,-0.0001152981203859,-2.4547843805525585e-05,0.0001310485525375,0.0002050853903989,0.0003680021892526,-0.0081558248519167,-0.003112212346407,-0.0018373692481508,0.0020072251101748,0.0032277461061895,0.0092917094484059,-9.848853464509765e-18,-5.950273432134104e-18,-4.2508539231143386e-18,2.6476217052095928e-18,4.164183052612365e-18,9.495545883977809e-18,-0.0005908402095525,-0.0004128133587285,-0.000347167947257,0.000385147706919,0.000424554163122,0.0004767332181054,-6.410461490413696e-10,1.726105789455291e-10,6.165959447880314e-10,-3.3843803602751486e-08,-1.8245736673645182e-08,-1.0267087374625489e-08,7.780366313627149e-09,1.3496696586299705e-08,2.6488601949328344e-08,-0.0008186387737986,2.1065092935736214e-05,0.0002060910619189,0.0088143624036252,0.0098501616209095,0.0145167677664956,1.867735954874659e-05,8.054605255892967e-05,0.0001788154826499,0.0082406247965991,0.0090890135522931,0.0113671580329537,0.0028389666519241,0.0028796522854522,0.0029217234887121,0.0043137643332888,0.0043531707894919,0.0044006499752502,-6.410461490070528e-10,1.7261057886894467e-10,6.165959446687042e-10,-3.384380360266631e-08,-1.824573667351454e-08,-1.0267087374716502e-08,7.780366313637479e-09,1.3496696586350017e-08,2.6488601949345112e-08
