var,plev_pa,plev_hpa,global_mean_min,global_mean_mean,global_mean_max,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,spatial_min,spatial_p01,spatial_p05,spatial_p95,spatial_p99,spatial_max,temporal_min,temporal_p01,temporal_p05,temporal_p95,temporal_p99,temporal_max,slope_mean_min,slope_mean_mean,slope_mean_max,slope_min,slope_p01,slope_p05,slope_p95,slope_p99,slope_max,raw_detrended0_min,raw_detrended0_p01,raw_detrended0_p05,raw_detrended0_p95,raw_detrended0_p99,raw_detrended0_max,temporal_detrended0_min,temporal_detrended0_p01,temporal_detrended0_p05,temporal_detrended0_p95,temporal_detrended0_p99,temporal_detrended0_max,spatial_detrended0_min,spatial_detrended0_p01,spatial_detrended0_p05,spatial_detrended0_p95,spatial_detrended0_p99,spatial_detrended0_max,slope_mean_detrended0_min,slope_mean_detrended0_mean,slope_mean_detrended0_max,slope_detrended0_min,slope_detrended0_p01,slope_detrended0_p05,slope_detrended0_p95,slope_detrended0_p99,slope_detrended0_max,raw_detrended1_min,raw_detrended1_p01,raw_detrended1_p05,raw_detrended1_p95,raw_detrended1_p99,raw_detrended1_max,temporal_detrended1_min,temporal_detrended1_p01,temporal_detrended1_p05,temporal_detrended1_p95,temporal_detrended1_p99,temporal_detrended1_max,spatial_detrended1_min,spatial_detrended1_p01,spatial_detrended1_p05,spatial_detrended1_p95,spatial_detrended1_p99,spatial_detrended1_max,slope_mean_detrended1_min,slope_mean_detrended1_mean,slope_mean_detrended1_max,slope_detrended1_min,slope_detrended1_p01,slope_detrended1_p05,slope_detrended1_p95,slope_detrended1_p99,slope_detrended1_max
hus,5000.0,50.0,1.3846207623899983e-06,1.653251184052447e-06,2.69745555014345e-06,1.2620251510497836e-08,5.129601845510479e-07,9.243086083188246e-07,3.0476048777927645e-06,3.2492571335751563e-06,3.931130322598619e-06,1.2530566787307509e-06,1.2645417815366396e-06,1.2824151523115911e-06,2.924193424534438e-06,3.01325463435119e-06,3.1030080726932226e-06,7.972538469402934e-07,1.0128270560016972e-06,1.0886469681281596e-06,2.9540410650952253e-06,2.9640345928783063e-06,2.9685259050893364e-06,-6.983976484322822e-08,-4.76943493138237e-08,-9.61685267880616e-09,-1.826710652197236e-07,-1.6592146900304508e-07,-1.4209954909194213e-07,1.4214893327469533e-08,1.8301483434118862e-08,2.559013887542968e-08,-1.6050820983041667e-06,-1.1490939117442654e-06,-4.882344040453514e-07,6.238520432477393e-07,1.086367314763197e-06,2.1767176044674247e-06,-4.1786958731212145e-21,-2.2740163809169506e-21,-1.924558058218656e-21,1.382478774625769e-21,1.723308698639999e-21,2.658070058288495e-21,-3.673739103126957e-07,-3.367983766291727e-07,-2.464996768721869e-07,3.025556447318389e-07,1.0527914478574897e-06,1.3544465538131047e-06,2.706132648780459e-13,1.243757377289423e-12,2.4907385834133598e-12,-5.549686670889333e-12,-4.9367800757812595e-12,-3.660279098004862e-12,4.661672469453984e-12,5.396635163915965e-12,6.698537404499886e-12,-2.6281972531018085e-08,5.144942934343183e-07,9.12518422327184e-07,3.044192715325681e-06,3.168755742909312e-06,3.6855687983803297e-06,7.972538469402929e-07,1.0128270992026965e-06,1.088646916969082e-06,2.954041008251807e-06,2.964034638353039e-06,2.9685259050893364e-06,1.1802493496644054e-06,1.215009400905044e-06,1.2406679989927643e-06,2.920964666634563e-06,3.0051551158699142e-06,3.085736563944628e-06,2.706132648714521e-13,1.2437573772968837e-12,2.490738583428109e-12,-5.549686670907466e-12,-4.936780075779406e-12,-3.6602790980675806e-12,4.661672469441317e-12,5.396635163916613e-12,6.698537404558456e-12
hus,10000.0,100.0,2.0488471622795776e-06,2.2452622637359453e-06,2.709208779867061e-06,-2.402991015060252e-07,5.334778165888565e-07,9.58917894422484e-07,3.504484993754886e-06,4.004717993666418e-06,6.9398206505866256e-06,1.647687021927254e-06,1.6782014619679757e-06,1.722890375832294e-06,3.241435455873465e-06,3.341388852136294e-06,3.584216498685654e-06,6.035591582076449e-07,8.559326829526981e-07,9.817383670451818e-07,2.9836564863217063e-06,3.129478500341065e-06,4.115056981390808e-06,-3.531202760629348e-08,-1.8466342663136818e-08,3.2084615680483187e-09,-9.131361956591523e-08,-8.71487242238179e-08,-8.261982758822306e-08,3.558348258740555e-08,4.5563167973386175e-08,7.277107739514817e-08,-2.4665175915042302e-06,-1.0011651985409892e-06,-7.364593632166666e-07,7.221090535934492e-07,1.1934918312621766e-06,3.981299258654986e-06,-4.4885115277025166e-21,-2.3571934901518324e-21,-1.9489770260674283e-21,1.4197885592072082e-21,1.7947216430739792e-21,3.137047022509677e-21,-7.050887608347445e-07,-6.350924295382991e-07,-4.792255832672129e-07,5.345817329495904e-07,7.342140507514693e-07,1.211414828963701e-06,-9.687773333321532e-14,5.766283231161078e-13,1.2401836592007014e-12,-1.1796341147343191e-11,-6.993668953205885e-12,-3.2668792086040583e-12,4.74612251773155e-12,6.4277896289693055e-12,1.0042379876029588e-11,-2.5241863026337805e-07,5.3256725187597e-07,9.59935472460234e-07,3.5033117104645644e-06,4.00552770187122e-06,6.943563824254533e-06,6.035591582076439e-07,8.559327056900653e-07,9.8173839546689e-07,2.9836565317964404e-06,3.129478527625908e-06,4.115056981390804e-06,1.6336125020818206e-06,1.6823511049934757e-06,1.7209042215458097e-06,3.2437902394140407e-06,3.3485004974291613e-06,3.5900565308335933e-06,-9.687773331337797e-14,5.766283231271245e-13,1.240183659222807e-12,-1.1796341147285007e-11,-6.993668953175624e-12,-3.266879208650185e-12,4.7461225177406094e-12,6.427789629020004e-12,1.0042379875979912e-11
hus,15000.0,150.0,6.1787299351174535e-06,6.500681503306597e-06,6.769870455439279e-06,2.1582715703516442e-07,1.172238398794434e-06,1.475998601563333e-06,1.3138819667801728e-05,1.6048184988903813e-05,4.201755655230954e-05,5.038718666706539e-06,5.097793490309682e-06,5.233076359419158e-06,7.738111117679602e-06,7.926693494506123e-06,8.128091815966242e-06,7.937459258755553e-07,1.3143423984729452e-06,1.5285779682017164e-06,1.204663476528367e-05,1.3692207176063675e-05,1.842495476012118e-05,-1.6856486402204587e-08,2.8496330748671033e-08,1.471836928163924e-07,-2.362582428809771e-07,-1.2192064598063697e-07,-9.881616247577357e-08,4.2895714667623634e-07,5.253811565886403e-07,6.454662405717352e-07,-1.2197481433459886e-05,-5.1944284444062845e-06,-3.0350473462668016e-06,3.327539822346406e-06,6.709902023504903e-06,2.947562874797685e-05,-1.7349676656552952e-20,-9.709592090868212e-21,-7.319585612669594e-21,4.8724561918247364e-21,6.927156447352402e-21,1.2507853187788501e-20,-1.5352031864072118e-06,-1.1893319689403638e-06,-1.0447350385219355e-06,1.4320434291870445e-06,1.6333176698559153e-06,1.785024509214486e-06,-1.0608930597485074e-12,3.4910910248306574e-13,2.7621781747679924e-12,-5.257683782406024e-11,-3.786181650931371e-11,-2.183182271052927e-11,2.0569423988353863e-11,3.407852265322181e-11,8.680311366742392e-11,1.7459450268714497e-07,1.1721768571001216e-06,1.476230461811208e-06,1.313762167858014e-05,1.604668101306369e-05,4.15929296960111e-05,7.937459258755547e-07,1.314342417799707e-06,1.5285779170426385e-06,1.2046634492435262e-05,1.3692207094209146e-05,1.8424954760121192e-05,4.969639206102341e-06,5.126006091166789e-06,5.242200326006316e-06,7.748644513618966e-06,7.920253034384163e-06,8.126082102938241e-06,-1.0608930596877157e-12,3.491091025159392e-13,2.762178174752627e-12,-5.2576837823876986e-11,-3.786181650935524e-11,-2.183182271078229e-11,2.056942398830634e-11,3.4078522653285605e-11,8.68031136672056e-11
hus,20000.0,200.0,2.6245745460524537e-05,2.8209982348002046e-05,2.9526452078919223e-05,-5.050662366556935e-06,1.8343384908803275e-06,2.4776302325335564e-06,7.086769619490951e-05,8.997506665764377e-05,0.0002452694170642,2.1143394909043716e-05,2.175951687956794e-05,2.270620484913537e-05,3.3779136608190976e-05,3.471111845890123e-05,3.535894039715734e-05,1.032924046739936e-06,2.1864161681151018e-06,2.7588423563429387e-06,6.371713243424892e-05,7.675810775253922e-05,0.0001030800995067,6.48226871913793e-08,2.7691964379174313e-07,6.991730214213407e-07,-1.155286331409126e-06,-5.436544532984656e-07,-2.8778724168990845e-07,2.2713271846971595e-06,3.1092637062319205e-06,4.077820671076762e-06,-7.226984523034342e-05,-2.9054008906292933e-05,-1.6506614462013735e-05,1.862760364158384e-05,3.554508547398912e-05,0.0001709964277642,-8.580825302058701e-20,-5.2090664309841006e-20,-3.743427771216843e-20,2.313609993071746e-20,3.6043268650782994e-20,7.315137872097139e-20,-7.056848193672781e-06,-4.655489843972705e-06,-3.777096467545885e-06,5.370958806790692e-06,6.274744026636555e-06,7.113844959469416e-06,-4.615495388186215e-12,2.363045939701927e-12,1.1435988877960446e-11,-3.338612543238749e-10,-1.9976685388835647e-10,-1.0147374082997033e-10,1.0544676272159943e-10,1.8417896641151663e-10,4.425795241447453e-10,-4.63028091315876e-06,1.8304122791901335e-06,2.4664017419221195e-06,7.085884194149457e-05,8.996013405299196e-05,0.0002429362007613,1.0329240467399342e-06,2.1864161408302588e-06,2.7588422881308376e-06,6.371713279804672e-05,7.675810804357749e-05,0.0001030800995067,2.1262613515905343e-05,2.2036247280823243e-05,2.308556713325608e-05,3.359273761385094e-05,3.452177298430964e-05,3.533562376652965e-05,-4.615495387915266e-12,2.3630459398465747e-12,1.1435988878218828e-11,-3.338612543252382e-10,-1.9976685388808557e-10,-1.0147374082970687e-10,1.0544676272167388e-10,1.8417896641089144e-10,4.4257952414638253e-10
hus,25000.0,250.0,7.80164373371927e-05,8.53005609624033e-05,8.887093666239341e-05,-3.4981785574927926e-05,4.018961590190884e-06,6.246257726161275e-06,0.0002241083711851,0.0002952374925371,0.0006970493122935,6.42725264828593e-05,6.736578706179695e-05,6.93498023659563e-05,0.0001003485866464,0.0001025939426585,0.0001047570906774,1.3466145674101426e-06,5.826576398249017e-06,8.422367500315886e-06,0.0001993875630432,0.0002502243150956,0.0003433690289966,2.936364924846847e-07,8.96065660392408e-07,2.099153283251347e-06,-4.48426688937245e-06,-1.9681456967054315e-06,-9.094716898394152e-07,6.696089835132256e-06,9.693116934912566e-06,1.320000087012275e-05,-0.0002362078581674,-9.477175604325128e-05,-5.403583890981176e-05,6.120386074919992e-05,0.0001164002485296,0.0005279196870374,-3.3981435658351983e-19,-1.6985834035606236e-19,-1.1305982113981725e-19,7.034406952435715e-20,1.1216329617736946e-19,2.509153599180739e-19,-1.996566526298666e-05,-1.5728623422737566e-05,-9.445093480021624e-06,1.360280737124268e-05,1.5579403138405556e-05,1.821052678290016e-05,-3.700344734432736e-12,1.2724642055868246e-11,3.7144519980182806e-11,-1.3234280751434967e-09,-6.619436510556071e-10,-3.317956315065528e-10,3.5398951232265665e-10,6.015835152678288e-10,1.5579276102469843e-09,-3.525258373867534e-05,3.972916245826388e-06,6.233989186078218e-06,0.0002240673906079,0.000295204093647,0.000698130456321,1.3466145674101426e-06,5.826576611980268e-06,8.422367591265349e-06,0.000199387565226,0.0002502243081107,0.0003433690289966,6.633617441274997e-05,6.866342674904259e-05,7.089768010873346e-05,0.0001004537942658,0.000102430390033,0.0001050615136775,-3.700344733580337e-12,1.2724642056308548e-11,3.714451998099837e-11,-1.3234280751393823e-09,-6.619436510537116e-10,-3.317956315065693e-10,3.5398951232253805e-10,6.015835152660323e-10,1.5579276102443164e-09
hus,30000.0,300.0,0.0001701351993525,0.00018828605857183637,0.0001943879133373,-6.539261084981263e-05,8.83598841028288e-06,1.3221135304775087e-05,0.0004782941832672,0.0006816148525103,0.0017711189575493,0.0001438119847271,0.0001495573361846,0.0001526380195335,0.0002197171958553,0.0002234202918096,0.0002284652823748,2.412496996839764e-06,1.7435271729482338e-05,1.977137799258344e-05,0.0004204525612294,0.0005570373032242,0.0008092179195955,7.476944834923282e-07,1.9614001895390735e-06,4.319098047792624e-06,-1.019433493533035e-05,-4.899600296175004e-06,-2.360085504556454e-06,1.3924548489176336e-05,2.1314552747867805e-05,3.1229215932605274e-05,-0.0005625359245131,-0.0002243100306719,-0.0001259246038388,0.000143375567353,0.0002797174614051,0.0011762859364281,-7.622625003672862e-19,-3.5866579976277227e-19,-2.369616640044895e-19,1.4791615353195097e-19,2.4007333819321885e-19,6.190278118143429e-19,-4.217470571085596e-05,-3.386466617119377e-05,-1.814114544715332e-05,2.4783683839315394e-05,2.998455160486623e-05,3.459038642911052e-05,2.1598042846088367e-11,3.8131231257565536e-11,1.0067118566091044e-10,-3.1962987464670754e-09,-1.5926158053013111e-09,-7.615115609427032e-10,8.512365942073043e-10,1.540355306093231e-09,3.648723800347195e-09,-6.371993599868606e-05,8.693559277995892e-06,1.3140140026277502e-05,0.000478198844332,0.0006814003134649,0.0017576297693195,2.412496996839764e-06,1.7435270892747224e-05,1.977137853828025e-05,0.0004204525568638,0.0005570373253431,0.0008092179195955,0.0001483853847951,0.0001532203228496,0.0001564844423078,0.000219029879276,0.0002242307470415,0.0002288365818658,2.1598042847974103e-11,3.81312312585341e-11,1.0067118566272332e-10,-3.1962987464672115e-09,-1.5926158052965702e-09,-7.615115609407186e-10,8.512365942056255e-10,1.5403553060948675e-09,3.6487238003567685e-09
hus,40000.0,400.0,0.0005061542564814,0.0005495279742755273,0.000568262598742,-0.0001197038072859,3.1158557249000296e-05,4.53950633527711e-05,0.0013628129381686,0.002005690941587,0.0041739316657185,0.0004324713019647,0.0004504995591547,0.0004586141228775,0.0006015070750012,0.0006129747743965,0.0006340771869015,3.1480976758757606e-05,4.917923070024699e-05,6.097566802054644e-05,0.001176765654236,0.0016027855454012,0.0024550361558794,2.307246888667132e-06,5.474521383515528e-06,1.3814739569654457e-05,-3.318454820877422e-05,-1.410835577937713e-05,-6.99900318949516e-06,4.641809368452503e-05,7.422725713844448e-05,0.0001103781606928,-0.0019023314660461,-0.0006911059639839,-0.0003621838128,0.0004253791589195,0.0008189321834204,0.0027706110382882,-2.2047397691299826e-18,-9.870771930050822e-19,-6.681029603424191e-19,4.161271195349127e-19,6.796450389912567e-19,1.752277225436096e-18,-0.0001025586934354,-8.508860371285724e-05,-3.729083626476267e-05,5.387604207011179e-05,6.750197101366995e-05,9.666844315832512e-05,3.974389496075418e-11,8.48426651763156e-11,2.1336089835539726e-10,-1.0138704028530644e-08,-4.897841852482533e-09,-2.4109393437892332e-09,2.4224897286468374e-09,4.5834228716992805e-09,1.1369447797861794e-08,-0.0001181833678462,3.1087086196457363e-05,4.523707227637565e-05,0.0013625657499046,0.0020052118782951,0.0041559398342329,3.148097675875758e-05,4.917923241009698e-05,6.097566802054636e-05,0.001176765630953,0.001602785490686,0.0024550361558794,0.0004380413004093,0.0004601397462402,0.0004704225575239,0.000601909412246,0.0006133651620816,0.0006262494100077,3.9743894966196647e-11,8.484266517911772e-11,2.1336089836054475e-10,-1.0138704028504436e-08,-4.897841852498858e-09,-2.4109393437739267e-09,2.4224897286383356e-09,4.583422871753809e-09,1.1369447797898511e-08
hus,50000.0,500.0,0.0011137349173537,0.0012057704310585,0.0012409256452872,-0.0001278807903872,7.705362077103928e-05,0.0001121588793466,0.0030801042448729,0.0041545424610376,0.0078237513080239,0.0009555579870623,0.0009885377098749,0.0010050101631163,0.001349406884931,0.0013664416615476,0.0013880420702906,7.578405347885564e-05,0.0001118231084547,0.0001408329990226,0.0026442240923643,0.0035227909684181,0.0051449257880449,5.388492679093161e-06,1.0394664993032229e-05,2.547570941136383e-05,-8.878782929738447e-05,-3.545713242448193e-05,-1.3943748346200592e-05,8.180361955861492e-05,0.0001326812351455,0.0001967937715026,-0.0034265183960464,-0.0014351898558777,-0.0007653745449099,0.000883885007348,0.0016222547233273,0.005076399696534,-4.888482011581489e-18,-2.230135495692706e-18,-1.494050128859304e-18,9.200229863662711e-19,1.4838081160587333e-18,3.761665251775898e-18,-0.0002221743473231,-0.000167236838685,-8.894700559490696e-05,0.0001272909109293,0.0001561582908687,0.0002036078970267,1.1512057440884162e-11,1.0379439253164656e-10,3.204045341233698e-10,-1.7940598841280018e-08,-9.060458603315946e-09,-5.081323231972977e-09,4.509211038400255e-09,9.042530166011664e-09,1.7795063904271455e-08,-0.0001223222684361,7.704250111535968e-05,0.0001117059889648,0.0030794915574717,0.0041540874737392,0.0077899122743542,7.578405347885557e-05,0.0001118231049622,0.0001408329924743,0.0026442240457981,0.0035227909288369,0.0051449257880449,0.0009697363286985,0.001006754227122,0.0010267127865133,0.0013510325826249,0.0013646743743533,0.0013804642678941,1.1512057443212047e-11,1.0379439253783304e-10,3.2040453413494955e-10,-1.794059884122893e-08,-9.060458603287294e-09,-5.081323231949476e-09,4.509211038398926e-09,9.04253016607921e-09,1.7795063904253886e-08
hus,60000.0,600.0,0.0020102319452379,0.0021990053265474726,0.0022486975216989,-0.0001774712000042,0.0001137232684413,0.0002008308656513,0.005302857607603,0.0064018862321972,0.0106895891949534,0.0017644597077761,0.001809150793968,0.0018348876482866,0.0024771655337299,0.0025144125717865,0.0025285835273343,6.518916779896244e-05,0.0001569999731145,0.0002343371888855,0.0046871835365891,0.0057353302836418,0.0076143089681863,9.632287080111118e-06,1.5982950157483424e-05,2.985483565540868e-05,-0.0001683732012207,-7.049766350611072e-05,-2.0373054633956985e-05,9.615120779275956e-05,0.0001458256344644,0.0002199682347289,-0.0048962331791725,-0.0022085092547462,-0.0013113248541341,0.0014644682017714,0.0023795013656956,0.0068003859123663,-7.809381269780277e-18,-3.785776122018898e-18,-2.7060123411295872e-18,1.684179003269026e-18,2.645453300864631e-18,5.745238940675569e-18,-0.0003964608016421,-0.0002717863215385,-0.0001821533754367,0.0002495968120999,0.0002699488591165,0.0003075379752819,-2.5324257067510554e-10,3.3139526809881635e-11,3.0926663756990206e-10,-2.3790732931845296e-08,-1.27782673243623e-08,-7.723519474742052e-09,6.321725408449362e-09,1.1383163024802977e-08,2.2596698672241465e-08,-0.0001826271334992,0.0001135220721054,0.0001994036071471,0.005302035005587,0.0064007885067637,0.0105794690184101,6.518916779896246e-05,0.0001569999739876,0.0002343371888855,0.0046871836995705,0.0057353301066905,0.0076143089681863,0.0017912002313662,0.001824384546322,0.0018462515135973,0.002479352318418,0.0024997043654346,0.0025358073399493,-2.532425706532994e-10,3.31395268211864e-11,3.09266637590751e-10,-2.379073293177092e-08,-1.2778267324375846e-08,-7.723519474514924e-09,6.3217254083691624e-09,1.1383163024813525e-08,2.25966986722679e-08
hus,70000.0,700.0,0.0031830008733299,0.0034855291826401914,0.0035756003563289,-0.0001912532316055,2.0994646547478624e-05,0.0002172986569348,0.0078468974679708,0.0090002473443746,0.0144423898309469,0.0028228556561631,0.0028648857231296,0.0029102047702268,0.0038900893674986,0.003934723575768,0.003967448850101,1.8677359548746608e-05,8.054605132201687e-05,0.0001977272768272,0.0072171594947576,0.008335649035871,0.0106599340215325,1.5330003133179094e-05,2.444197621488763e-05,4.0515473675766654e-05,-0.0002872089204492,-0.0001152981203859,-2.4547843805525585e-05,0.0001274933192723,0.0002050853903989,0.0003680021892526,-0.0067827850473133,-0.0028791462452511,-0.0017779594674856,0.0019628322564819,0.0030932816244303,0.0090959487803821,-9.848853464509765e-18,-5.950273432134104e-18,-4.2492911091720176e-18,2.6476217052095928e-18,4.164183052612365e-18,9.495545883977809e-18,-0.0005908402095525,-0.0004128133587285,-0.0002637998998832,0.0003484909401655,0.0003987935685012,0.0004308347204876,-6.410461490413696e-10,-2.9529173704904624e-11,3.6481805694330876e-10,-3.3843803602751486e-08,-1.8245736673645182e-08,-1.0267087374625489e-08,7.780366313627149e-09,1.3496696586299705e-08,2.6488601949328344e-08,-0.0002228028381787,2.1065092935736214e-05,0.0002171416065692,0.0078459945874822,0.0089997993201449,0.0145167677664956,1.867735954874659e-05,8.054605255892967e-05,0.0001977272775548,0.0072171597275882,0.0083356492500752,0.0106599340215325,0.0028389666519241,0.0028796522854522,0.0029217234887121,0.0038924834814573,0.0039305007791912,0.0039623801976447,-6.410461490070528e-10,-2.95291736871044e-11,3.648180569773043e-10,-3.384380360266631e-08,-1.824573667351454e-08,-1.0267087374716502e-08,7.780366313637479e-09,1.3496696586350017e-08,2.6488601949345112e-08
