var,plev_pa,plev_hpa,global_mean_min,global_mean_mean,global_mean_max,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,spatial_min,spatial_p01,spatial_p05,spatial_p95,spatial_p99,spatial_max,temporal_min,temporal_p01,temporal_p05,temporal_p95,temporal_p99,temporal_max,slope_mean_min,slope_mean_mean,slope_mean_max,slope_min,slope_p01,slope_p05,slope_p95,slope_p99,slope_max
hus,5000.0,50.0,1.3846207623899983e-06,2.364409937124309e-06,3.486169576222628e-06,1.2620251510497836e-08,5.129601845510479e-07,9.243086083188246e-07,4.204840024613077e-06,4.572919351630844e-06,5.049712399340933e-06,1.2530566787307509e-06,1.2645417815366396e-06,1.2824151523115911e-06,3.666764214597533e-06,3.702435811659631e-06,3.773728303236545e-06,7.972538469402934e-07,1.0128270560016972e-06,1.0886469681281596e-06,3.859217031276785e-06,3.886010290443664e-06,3.897872375091538e-06,-2.932846962267809e-07,-5.238614582979842e-08,1.2444070104244488e-08,-3.676338660995172e-07,-3.63012548140713e-07,-3.571306263367525e-07,3.4884084819541014e-08,3.710265453528704e-08,3.925068351125992e-08
hus,10000.0,100.0,2.0488471622795776e-06,2.831705785876522e-06,3.811306605218494e-06,-2.402991015060252e-07,5.334778165888565e-07,9.58917894422484e-07,5.131504167366074e-06,5.693187176802894e-06,7.370848379650852e-06,1.647687021927254e-06,1.6782014619679757e-06,1.722890375832294e-06,4.407703700026756e-06,4.530974972541811e-06,4.608281271733615e-06,6.035591582076449e-07,8.559326829526981e-07,9.817383670451818e-07,4.216608431306668e-06,4.3632317101582885e-06,4.483415523282019e-06,-1.88565476107353e-07,-2.324587407514508e-08,2.554977242389208e-08,-2.54769616153758e-07,-2.488004369336072e-07,-2.445218313086561e-07,4.7243474461909546e-08,6.060426923207833e-08,8.383633611259995e-08
hus,15000.0,150.0,6.1787299351174535e-06,7.771374883164592e-06,1.100202840432147e-05,2.1582715703516442e-07,1.172238398794434e-06,1.475998601563333e-06,2.072296592814382e-05,2.480930925230496e-05,4.791960236616433e-05,4.909247509923035e-06,5.083854617439062e-06,5.233076359419158e-06,1.24648739335245e-05,1.2805490226664396e-05,1.3480435562801895e-05,7.937459258755553e-07,1.3143423984729452e-06,1.5285779682017164e-06,1.970645462279208e-05,2.1341766114346683e-05,2.3057851649355143e-05,-1.6856486402204587e-08,7.299770868305137e-08,1.6547308688221526e-07,-2.362582428809771e-07,-2.004127543199795e-07,-1.9510041403434966e-07,4.2895714667623634e-07,5.253811565886403e-07,6.454662405717352e-07
hus,20000.0,200.0,2.6245745460524537e-05,3.219041485122775e-05,4.437820803620891e-05,-5.050662366556935e-06,1.8343384908803275e-06,2.4776302325335564e-06,0.0001064260432031,0.0001320155570283,0.0002452694170642,2.1143394909043716e-05,2.175951687956794e-05,2.270620484913537e-05,4.96985643632959e-05,5.116836686831132e-05,5.351274995480334e-05,1.032924046739936e-06,2.1864161681151018e-06,2.7588423563429387e-06,9.82146812020801e-05,0.0001130233285948,0.0001267607003683,6.48226871913793e-08,4.651094583215943e-07,6.991730214213407e-07,-2.359416482091725e-06,-5.801436655721837e-07,-2.8778724168990845e-07,2.2713271846971595e-06,3.1092637062319205e-06,4.137553000887766e-06
hus,25000.0,250.0,7.80164373371927e-05,9.302167771913647e-05,0.0001198526302401,-3.4981785574927926e-05,3.986501724284608e-06,6.198915343702538e-06,0.000297750957543,0.0003866718907374,0.0007967088022269,6.42725264828593e-05,6.736578706179695e-05,6.93498023659563e-05,0.0001329801989004,0.0001362313426787,0.0001415315049265,1.3466145674101426e-06,5.826576398249017e-06,7.971364539116621e-06,0.0002686200896278,0.0003247844288125,0.0003822880680672,2.936364924846847e-07,1.298061615603277e-06,2.099153283251347e-06,-9.182781864834142e-06,-3.056646664886123e-06,-9.094716898394152e-07,6.696089835132256e-06,9.693116934912566e-06,1.320000087012275e-05
hus,30000.0,300.0,0.0001701351993525,0.0001988663698489846,0.0002442520127445,-6.539261084981263e-05,7.897358955233358e-06,1.2561005860334262e-05,0.0006052863318473,0.0008348184055648,0.00188530376181,0.0001433764785419,0.0001495573361846,0.0001526380195335,0.0002671294876208,0.0002730200481915,0.0002812706568396,2.412496996839764e-06,1.545240775158163e-05,1.7363046936225146e-05,0.0005342559306882,0.0006681295926682,0.0008092179195955,7.476944834923282e-07,2.6138081507448626e-06,4.319098047792624e-06,-1.941700498032173e-05,-7.22756828484354e-06,-2.360085504556454e-06,1.3924548489176336e-05,2.1314552747867805e-05,3.1229215932605274e-05
hus,40000.0,400.0,0.0005061542564814,0.000574322408119477,0.0006832243112973,-0.0001221481070388,2.862628025468439e-05,4.2451629269635305e-05,0.0016906999517232,0.0023174136877059,0.0044374126009643,0.0004324713019647,0.0004504995591547,0.0004586141228775,0.0007406722922301,0.0007573277754835,0.0007805173833629,3.1480976758757606e-05,4.846198862651363e-05,5.609694198938087e-05,0.0014650424709543,0.0018675759201869,0.0024550361558794,2.307246888667132e-06,6.517582492038365e-06,1.3814739569654457e-05,-5.035587072331068e-05,-2.102985630119099e-05,-6.99900318949516e-06,4.641809368452503e-05,7.422725713844448e-05,0.0001103781606928
hus,50000.0,500.0,0.0011137349173537,0.0012631285279151615,0.0015051556767949,-0.0003938623121939,7.203939458122477e-05,0.0001071024453267,0.0038711589295417,0.0048539047129452,0.0079804426059126,0.0009555579870623,0.0009885377098749,0.0010050101631163,0.001654290814459,0.0016829460018701,0.0017401954884901,7.578405347885564e-05,0.0001118231084547,0.0001336478599114,0.0034419160801917,0.0041585192084312,0.0051449257880449,5.388492679093161e-06,1.2966588776303248e-05,2.547570941136383e-05,-0.0001091318517949,-4.475063151550831e-05,-1.3943748346200592e-05,8.180361955861492e-05,0.0001326812351455,0.0001967937715026
hus,60000.0,600.0,0.0020102319452379,0.002237730076720027,0.0025284686284766,-0.000415165326558,0.0001031301653711,0.0001912295556394,0.0059303911402821,0.0068269735202193,0.011235948652029,0.0017644597077761,0.0018007278231435,0.0018348876482866,0.0027906064129281,0.0028451185215542,0.0029024029782641,6.518916779896244e-05,0.0001569999731145,0.0002216484717791,0.0054441122338175,0.0061456756666302,0.0077708009630441,9.632287080111118e-06,1.8435631592354404e-05,2.985483565540868e-05,-0.0001783507397044,-7.049766350611072e-05,-2.0373054633956985e-05,9.615120779275956e-05,0.0001458256344644,0.0002199682347289
hus,70000.0,700.0,0.0031830008733299,0.003523371245753792,0.0039286166189508,-0.0006638818886131,2.0994646547478624e-05,0.0002069457841571,0.0088157523423433,0.009854638017714,0.0144423898309469,0.0028096270998879,0.0028516266403272,0.0029102047702268,0.0043210953049499,0.0043861752557776,0.0044594861892447,1.8677359548746608e-05,8.054605132201687e-05,0.0001788154768291,0.0082406252622604,0.0090890135616064,0.0113671580329537,1.5330003133179094e-05,2.7871849861911e-05,4.338247953813004e-05,-0.0003001894837271,-0.0001152981203859,-2.4547843805525585e-05,0.0001274933192723,0.0002050853903989,0.0003680021892526
