var,plev_pa,plev_hpa,global_mean_min,global_mean_mean,global_mean_max,raw_min,raw_p01,raw_p05,raw_p95,raw_p99,raw_max,spatial_min,spatial_p01,spatial_p05,spatial_p95,spatial_p99,spatial_max,temporal_min,temporal_p01,temporal_p05,temporal_p95,temporal_p99,temporal_max,slope_mean_min,slope_mean_mean,slope_mean_max,slope_min,slope_p01,slope_p05,slope_p95,slope_p99,slope_max,raw_detrended0_min,raw_detrended0_p01,raw_detrended0_p05,raw_detrended0_p95,raw_detrended0_p99,raw_detrended0_max,temporal_detrended0_min,temporal_detrended0_p01,temporal_detrended0_p05,temporal_detrended0_p95,temporal_detrended0_p99,temporal_detrended0_max,spatial_detrended0_min,spatial_detrended0_p01,spatial_detrended0_p05,spatial_detrended0_p95,spatial_detrended0_p99,spatial_detrended0_max,slope_mean_detrended0_min,slope_mean_detrended0_mean,slope_mean_detrended0_max,slope_detrended0_min,slope_detrended0_p01,slope_detrended0_p05,slope_detrended0_p95,slope_detrended0_p99,slope_detrended0_max,raw_detrended1_min,raw_detrended1_p01,raw_detrended1_p05,raw_detrended1_p95,raw_detrended1_p99,raw_detrended1_max,temporal_detrended1_min,temporal_detrended1_p01,temporal_detrended1_p05,temporal_detrended1_p95,temporal_detrended1_p99,temporal_detrended1_max,spatial_detrended1_min,spatial_detrended1_p01,spatial_detrended1_p05,spatial_detrended1_p95,spatial_detrended1_p99,spatial_detrended1_max,slope_mean_detrended1_min,slope_mean_detrended1_mean,slope_mean_detrended1_max,slope_detrended1_min,slope_detrended1_p01,slope_detrended1_p05,slope_detrended1_p95,slope_detrended1_p99,slope_detrended1_max
hus,5000.0,50.0,1.6188872143584058e-06,1.8573472799786422e-06,2.69745555014345e-06,5.640155222863541e-07,8.67939149884478e-07,1.0918378166024922e-06,3.886303602484986e-06,4.425752649694914e-06,5.108342520543374e-06,1.3717660291024398e-06,1.3905849554467377e-06,1.4038833366355895e-06,3.7509452417497703e-06,3.830758264405779e-06,4.00466425903774e-06,1.337711296400812e-06,1.3553266171584255e-06,1.3748630180998589e-06,2.9540410650952253e-06,2.9640345928783063e-06,2.9685259050893364e-06,-5.564248803122048e-07,-2.4246297967889036e-07,-9.61685267880616e-09,-6.75124660950753e-07,-6.658029531598926e-07,-6.564660736291577e-07,1.4214893327469533e-08,1.5255511546031988e-08,1.6959475038502312e-08,-1.616088676928687e-06,-1.169856712892127e-06,-9.714111758212905e-07,1.2006287498739012e-06,1.7128685305698509e-06,2.4887970284056102e-06,-3.0199528337211248e-21,-2.0489638454052198e-21,-1.6741443879094141e-21,5.217783892708594e-22,7.510561924395145e-22,1.943910145137567e-21,-1.1032351143671991e-06,-1.0460175747867295e-06,-9.278923831075062e-07,1.2378324790990186e-06,1.5207583042269894e-06,1.6977862372673285e-06,-1.618050423041151e-13,5.58354960107723e-13,1.5212581881929442e-12,-2.1697759380319253e-12,-2.0873280882758464e-12,-1.9685258975686706e-12,2.6982106570368667e-12,3.0678681774180974e-12,3.330411005002397e-12,2.815010950291532e-07,6.73162735496168e-07,9.177744420490436e-07,3.200129984856448e-06,3.7616609337779743e-06,4.657361146408175e-06,1.3377112964008118e-06,1.355326570546822e-06,1.3748629953624908e-06,2.954041008251807e-06,2.964034638353039e-06,2.9685259050893364e-06,9.19308743321553e-07,9.452396016660726e-07,1.044054643171411e-06,3.0075118539466344e-06,3.2441593900119818e-06,3.390306251514606e-06,-1.6180504237064001e-13,5.583549600472916e-13,1.5212581881225648e-12,-2.1697759381901588e-12,-2.087328088335159e-12,-1.9685258976174007e-12,2.698210656949015e-12,3.0678681773156268e-12,3.3304110049331306e-12
hus,10000.0,100.0,2.3870278664146127e-06,2.5031440885056012e-06,2.709208779867061e-06,3.791374183492735e-07,1.1042150163120823e-06,1.2194392411402075e-06,4.156221621087752e-06,5.096241693536285e-06,6.718191798427142e-06,1.9073660801043324e-06,1.967935339970263e-06,2.002825014230797e-06,4.1800625112174665e-06,4.638691172910817e-06,4.964791584429336e-06,1.303155272580625e-06,1.322112325397029e-06,1.3711184010389843e-06,3.208664566045627e-06,3.33686489284446e-06,3.47882473761274e-06,-3.316496574451719e-07,-1.508665646868895e-07,3.2084615680483187e-09,-4.560602200837635e-07,-4.448214099893861e-07,-4.285377910724701e-07,3.558348258740555e-08,4.5563167973386175e-08,7.277107739514817e-08,-2.229203545006163e-06,-1.1152476738611676e-06,-8.249884843646947e-07,1.037443022325415e-06,1.8342870306389565e-06,3.749371298306135e-06,-3.0730768513189558e-21,-2.065196184115668e-21,-1.6719308871761713e-21,6.931844944470259e-22,1.0665645394875953e-21,2.407797793409032e-21,-9.678884936051482e-07,-8.132126022274033e-07,-6.907544529970972e-07,1.0271190457430986e-06,1.6875425459437885e-06,2.0166783104847417e-06,-1.0310181835105777e-12,1.1850625360108758e-13,1.176304167841996e-12,-6.169013731523281e-12,-4.739767599205713e-12,-3.1066343506681444e-12,2.2248972563887117e-12,2.849440686113016e-12,5.143932270797502e-12,4.906391383096908e-07,9.468578346478986e-07,1.2120959016638314e-06,3.88057061992938e-06,4.7147012968281225e-06,6.429737772161513e-06,1.3031552725806257e-06,1.3221123299445025e-06,1.3711184180920094e-06,3.208664622889045e-06,3.3368648109899344e-06,3.478824737612741e-06,1.7344010501704974e-06,1.7953328453261727e-06,1.9072800686836524e-06,3.729408589518746e-06,4.190145629207006e-06,4.505129592566298e-06,-1.0310181836026349e-12,1.1850625351668832e-13,1.176304167746794e-12,-6.1690137315837065e-12,-4.739767599307822e-12,-3.106634350731911e-12,2.224897256328121e-12,2.849440686012728e-12,5.143932270702242e-12
hus,15000.0,150.0,6.317938513259889e-06,6.442043808497131e-06,6.600450956300012e-06,9.465119887863692e-07,1.6422138742200332e-06,1.841505422817136e-06,1.1825391084130388e-05,1.4517911040456966e-05,3.682359965750948e-05,4.909247509923035e-06,5.083854617439062e-06,5.298852279398307e-06,7.755875185401798e-06,8.159315659166927e-06,8.623060993635785e-06,1.8729577959675223e-06,1.935894488269696e-06,1.9748174509004457e-06,1.1108417311334051e-05,1.1995060958724936e-05,1.3019221114518588e-05,-4.9173454923424273e-08,2.246456507555994e-08,1.471836928163924e-07,-3.540610162384701e-07,-3.316195485105878e-07,-3.2140560296063573e-07,4.2895714667623634e-07,5.253811565886403e-07,6.454662405717352e-07,-9.589815635563884e-06,-4.4926158418284e-06,-2.435277528014936e-06,2.5114028407511877e-06,5.376420205322703e-06,2.6678637304529243e-05,-1.1386247771801708e-20,-6.454568138136428e-21,-4.757550909316837e-21,1.7397691110870702e-21,3.1364898785361373e-21,8.421579374859303e-21,-1.5757865358884204e-06,-1.3297112540526392e-06,-1.1139211232501696e-06,1.1136008933551645e-06,1.5714923495861004e-06,2.0598636772460426e-06,1.2398795616602817e-12,1.9661037602226183e-12,2.7621781747679924e-12,-2.1344941944514383e-11,-1.1042870984055991e-11,-4.879234267641219e-12,8.733819275683996e-12,1.801505946669884e-11,5.3774395529204135e-11,9.977550767364588e-07,1.6009903764504056e-06,1.847048604011701e-06,1.1821489586299564e-05,1.4366328427811556e-05,3.5890341178375235e-05,1.8729577959675208e-06,1.9358945974090608e-06,1.974817382688344e-06,1.1108417356808784e-05,1.1995061386187448e-05,1.3019221114518583e-05,4.912443292290073e-06,5.080414316599471e-06,5.298553248107688e-06,7.714051842719561e-06,8.105100187522196e-06,8.593304205186336e-06,1.2398795614245682e-12,1.9661037600038367e-12,2.762178174752627e-12,-2.1344941944718367e-11,-1.1042870984383206e-11,-4.87923426787403e-12,8.733819275548801e-12,1.8015059466481725e-11,5.377439552867326e-11
hus,20000.0,200.0,2.6245745460524537e-05,2.6449069526143232e-05,2.6658491114992564e-05,-3.949160600313917e-06,2.209857939305948e-06,2.868663159460993e-06,6.269852019613609e-05,7.923501107143238e-05,0.0001946706761373,2.1143394909043716e-05,2.175951687956794e-05,2.270620484913537e-05,3.0337111525913024e-05,3.223936764191584e-05,3.327839792929715e-05,2.375522399233887e-06,2.979283635795582e-06,3.2833961540745804e-06,5.76944621570874e-05,6.570549885509536e-05,7.643595745321363e-05,4.482982761466841e-07,5.423750902636575e-07,6.991730214213407e-07,-1.164682682166453e-06,-4.508551981870869e-07,-3.937279669441599e-07,2.2713271846971595e-06,3.1092637062319205e-06,4.077820671076762e-06,-5.772986591323875e-05,-2.435562111879432e-05,-1.3535516358393528e-05,1.4863636635516889e-05,2.971310612068012e-05,0.0001514429837229,-5.598090921086958e-20,-3.082857573225578e-20,-2.077739354937378e-20,8.629071978125527e-21,1.6916283896244157e-20,4.706821931361306e-20,-5.293350830319225e-06,-4.209496700301235e-06,-3.176849150023693e-06,3.645310378145763e-06,4.854580818275278e-06,5.396728660163683e-06,8.278497641297814e-12,9.343845158714396e-12,1.1405394846429296e-11,-9.898634879791381e-11,-5.6035418502528694e-11,-3.4553733507336626e-11,5.2383414108927296e-11,9.825089467264524e-11,3.158283504619221e-10,-4.301291592144414e-06,2.198851915737101e-06,2.8797371433056674e-06,6.268232076159575e-05,7.86492325683603e-05,0.0001936538162255,2.375522399233886e-06,2.979283742661208e-06,3.2833962109180005e-06,5.7694463794177854e-05,6.570550132892093e-05,7.643595745321362e-05,2.1262613515905343e-05,2.2036247280823243e-05,2.308556713325608e-05,3.0062107624532134e-05,3.141618877299394e-05,3.200331935378073e-05,8.278497640309427e-12,9.343845157815432e-12,1.1405394845452295e-11,-9.898634879908634e-11,-5.60354185034089e-11,-3.4553733508831225e-11,5.2383414108186304e-11,9.825089467137336e-11,3.1582835046144816e-10
hus,25000.0,250.0,7.80164373371927e-05,7.92790311432308e-05,8.012929515263622e-05,-2.7902889996767044e-05,3.979172561230371e-06,6.062822194508044e-06,0.0002023636625381,0.0002576873812358,0.0006209907005541,6.580394899125818e-05,6.736578706179695e-05,6.93498023659563e-05,9.022521257525664e-05,9.366967758965373e-05,9.740456921938895e-05,5.50759568795911e-06,7.0301007326634135e-06,7.971364539116621e-06,0.0001793135597836,0.0002157834242098,0.0002582923916634,1.3965837584307557e-06,1.8081737208606304e-06,2.4004931516145317e-06,-3.9885867230700586e-06,-1.3805091170634628e-06,-6.434396996143008e-07,6.696089835132256e-06,9.693116934912566e-06,1.320000087012275e-05,-0.0002060630734969,-8.273034186233392e-05,-4.6547340357609216e-05,5.085660407553255e-05,0.0001015821723497,0.0004813708214936,-1.9894354323525398e-19,-9.871198011260554e-20,-6.351271437251758e-20,2.442440831575506e-20,4.908257334990321e-20,1.4844404744686877e-19,-1.141577094085646e-05,-9.35302217107989e-06,-7.142772621545153e-06,9.44791601335268e-06,1.271207172375846e-05,1.463902251010584e-05,1.988392141525819e-11,2.8174934395778674e-11,3.4722767366414094e-11,-4.39908581499554e-10,-2.423015596494171e-10,-1.2928103763018426e-10,1.8113290781867717e-10,3.4018374959153435e-10,9.067635324449071e-10,-3.2100177239084975e-05,3.922876720938011e-06,6.054956662766534e-06,0.0002022926362609,0.0002568816814081,0.0006261649537048,5.507595687959111e-06,7.030100955489616e-06,7.971364766490298e-06,0.0001793135546904,0.0002157834214449,0.0002582923916634,6.673881640631993e-05,6.866342674904259e-05,7.089768010873346e-05,8.905700749641215e-05,9.196210457813132e-05,9.413930300325624e-05,1.9883921415071023e-11,2.817493439308229e-11,3.472276736349804e-11,-4.3990858150584706e-10,-2.423015596553869e-10,-1.2928103763789632e-10,1.8113290781581942e-10,3.4018374958583203e-10,9.067635324423743e-10
hus,30000.0,300.0,0.0001701351993525,0.00017266377322856365,0.0001740473171464,-5.59591717319563e-05,7.897358955233358e-06,1.2561005860334262e-05,0.0004397846932988,0.0005980462883599,0.0013777097919955,0.0001433764785419,0.0001471585339889,0.0001513946873982,0.000194321999161,0.0002009136084729,0.0002120567895364,1.115350823965855e-05,1.545240775158163e-05,1.7363046936225146e-05,0.0003782396088354,0.0004811679245904,0.0006181488861329,2.8425182724967227e-06,3.9435847979575035e-06,5.6348035835582335e-06,-9.56794236178206e-06,-3.743284416446907e-06,-6.31217084420535e-07,1.4066029277651164e-05,2.1314552747867805e-05,3.1229215932605274e-05,-0.0004885307172446,-0.0001991148958276,-0.0001106402510033,0.0001224823203066,0.0002468405811577,0.0010456383476092,-4.1365901702844163e-19,-2.0989039635483532e-19,-1.3439195918526768e-19,5.2650105498396796e-20,1.0777769096107892e-19,3.371556755804743e-19,-2.2388738867422808e-05,-1.8918579375423347e-05,-1.417501546765892e-05,1.9889583325259426e-05,2.5077966064744627e-05,3.215007964472054e-05,3.4718714960486033e-11,6.024850308524416e-11,7.321339478565385e-11,-1.2090060963037074e-09,-6.525157044091605e-10,-3.188336625540602e-10,4.3546545063540586e-10,8.286077542014342e-10,1.8636181523574875e-09,-6.333412603195903e-05,7.873533129270322e-06,1.242283011952814e-05,0.000439545470399,0.0005964567424159,0.0013901008283397,1.1153508239658546e-05,1.5452408042619926e-05,1.7363047845719848e-05,0.0003782395957387,0.0004811679330305,0.0006181488861329,0.0001498024014815,0.0001527716047595,0.0001564844423078,0.0001923607498885,0.000197948461416,0.000204855927236,3.4718714960068895e-11,6.024850307936697e-11,7.321339477926742e-11,-1.2090060963261883e-09,-6.525157044160482e-10,-3.1883366256023075e-10,4.35465450623839e-10,8.286077541881528e-10,1.8636181523380467e-09
hus,40000.0,400.0,0.000506079668452,0.0005094502551823818,0.0005118729641831,-8.224538760259748e-05,2.862628025468439e-05,4.2451629269635305e-05,0.0012912288075312,0.0018306042766198,0.0038027800619602,0.000434515235885,0.0004480972569467,0.0004558889767232,0.0005681680067712,0.0005917442037821,0.0006340771869015,4.487180558498949e-05,4.846198862651363e-05,5.609694198938087e-05,0.0010845969663932,0.0014532601926475,0.0019245606381446,6.911882606375701e-06,9.552788061874313e-06,1.3814739569654457e-05,-3.431330808555973e-05,-1.7235539103420434e-05,-3.716804630124331e-06,4.641809368452503e-05,7.422725713844448e-05,0.0001103781606928,-0.0014511856195092,-0.0006399567563227,-0.0003395241892425,0.0003852087855968,0.0007740782563758,0.0028304345504554,-1.4865280657597424e-18,-6.410770336961329e-19,-3.9363716506268144e-19,1.4566529187889782e-19,2.9835059782424855e-19,1.133342270950675e-18,-5.704091288824345e-05,-4.342197711775967e-05,-3.573171417792063e-05,5.387604207011179e-05,6.750197101366995e-05,9.666844315832512e-05,7.813528924914538e-11,1.2107704652738115e-10,1.6367206090066691e-10,-3.6215678017091206e-09,-2.0526943693587064e-09,-1.0714281036130562e-09,1.306635154533311e-09,2.48713577063181e-09,4.3925998175754215e-09,-9.883942353838132e-05,2.8523695549750477e-05,4.2363038113234486e-05,0.0012907001016679,0.0018211409595632,0.003719228521868,4.487180558498948e-05,4.846198913583067e-05,5.6096940716088265e-05,0.0010845969838555,0.0014532602089457,0.0019245606381446,0.0004491133588136,0.0004628753485279,0.0004704225575239,0.000560030313772,0.0005736562427155,0.0006028227148602,7.813528924787601e-11,1.2107704651005425e-10,1.6367206088173528e-10,-3.6215678017798e-09,-2.052694369387975e-09,-1.07142810367331e-09,1.3066351545234296e-09,2.4871357705977262e-09,4.392599817541538e-09
hus,50000.0,500.0,0.0011137349173537,0.0011215162998241817,0.0011256548783756,-0.000232438032981,7.203939458122477e-05,0.0001071024453267,0.0029368638060986,0.0038698730058968,0.0073090875521302,0.0009555579870623,0.0009876679270957,0.0010038642724033,0.0012558791843152,0.0013011061983415,0.0013749790086827,0.0001058071284205,0.0001141425454989,0.0001336478599114,0.0025063487701117,0.0032364907674491,0.0040308334864676,1.4140337289225145e-05,1.855336680978449e-05,2.547570941136383e-05,-9.391850598223469e-05,-4.3935677331810457e-05,-4.882823994147687e-06,8.180361955861492e-05,0.0001326812351455,0.0001967937715026,-0.0033974844426997,-0.0013805440603766,-0.0007289385936245,0.0008293733776871,0.0015907632161222,0.0048459090004207,-3.1256755314094297e-18,-1.4687728385448228e-18,-8.938056934148793e-19,3.108306228312759e-19,6.48181298802485e-19,2.478064965457876e-18,-0.0001321553380784,-0.0001069806641191,-8.702210472788441e-05,0.0001245684720455,0.0001561582908687,0.0002036078970267,1.8316195534521844e-10,2.581144502595417e-10,3.4639160742010356e-10,-6.409180788165725e-09,-4.059546063680024e-09,-2.080257342982789e-09,2.738930317714833e-09,4.84797067796697e-09,8.121025959767664e-09,-0.0002136991981698,7.175136592249102e-05,0.0001069777233241,0.0029366231235853,0.003854455912273,0.0072857886897561,0.0001058071284205,0.0001141425449895,0.0001336478657322,0.0025063488050363,0.0032364908698946,0.0040308334864676,0.0009815795531627,0.001006754227122,0.0010267127865133,0.0012435744404457,0.00126989318211,0.0013173427882679,1.83161955342578e-10,2.581144502214592e-10,3.4639160737840347e-10,-6.409180788201968e-09,-4.0595460638001715e-09,-2.080257343048631e-09,2.738930317702761e-09,4.8479706779077185e-09,8.121025959676084e-09
hus,60000.0,600.0,0.002009486004342,0.0020210703281620546,0.0020302613052524,-0.0001703121233731,0.0001031301653711,0.0001912295556394,0.0050323656760156,0.0059739868156611,0.0104529373347759,0.0017644597077761,0.0017897893930867,0.0018260003953842,0.0022600648333391,0.0023132289578477,0.0023746494736867,6.52996968710795e-05,0.000160250114277,0.0002216484717791,0.004546521231532,0.0052293413318693,0.0069256257265806,1.879409915597143e-05,2.3691530019690613e-05,3.0295909250442533e-05,-0.0001712687122953,-7.049766350611072e-05,-1.0804547913998538e-05,9.615120779275956e-05,0.0001458256344644,0.0002199682347289,-0.0049051568337931,-0.0021216640692129,-0.0011748056132546,0.0013168046978981,0.0022766302160981,0.0065656738999168,-4.841510467795897e-18,-2.561013973479976e-18,-1.6455695691104033e-18,5.518706058185641e-19,1.1107222256254377e-18,3.556807127002806e-18,-0.0002190316974028,-0.000185847382447,-0.0001639804151717,0.0002216496290389,0.0002606362342775,0.0002968740022561,1.4295350859322707e-10,2.7247088749755523e-10,3.8619339672223084e-10,-1.0305851663276258e-08,-6.095091521560441e-09,-3.2062057471105453e-09,3.511199464444382e-09,6.0767169069283345e-09,1.0716699860350587e-08,-0.0003193134292848,0.000103093952228,0.0001908825370089,0.0050316683939261,0.0059674523252411,0.0105473470900337,6.529969687107955e-05,0.00016025011093,0.0002216484652308,0.0045465211616829,0.0052293413551524,0.0069256257265806,0.0017912002313662,0.001824384546322,0.0018462515135973,0.0022498202183453,0.0022736862303653,0.0023071059310252,1.4295350851806378e-10,2.724708874288459e-10,3.8619339664696237e-10,-1.0305851663472982e-08,-6.095091521745674e-09,-3.206205747201487e-09,3.511199464354212e-09,6.076716906813407e-09,1.0716699860245244e-08
hus,70000.0,700.0,0.0031823669634949,0.003202028702806691,0.00321769329256,-0.0003519977908581,2.496164779586252e-05,0.0002069457841571,0.0073682176880538,0.0083747887983918,0.0133089711889624,0.0027957865717396,0.0028387416309762,0.0028872834286011,0.0035675673691325,0.0036378372786536,0.0036814679930694,4.862682908424176e-05,8.837247150950134e-05,0.0001788154768291,0.0068356804549694,0.0075994585640728,0.0098784510046243,3.202208645960505e-05,3.9018228502571375e-05,5.095936746506055e-05,-0.0002872089204492,-0.0001152981203859,-1.9363557505347687e-05,0.0001310485525375,0.0002050853903989,0.0002931603211899,-0.0070687879192141,-0.0026859653530115,-0.0015702057750628,0.0017430434624423,0.0029121937796423,0.0087251874979236,-7.473817345105649e-18,-3.6296217676796965e-18,-2.491776142757626e-18,9.469218974082032e-19,1.9297238667116098e-18,5.7969716157642224e-18,-0.0003440346907327,-0.0003033490572046,-0.0002612778539447,0.0003400523605626,0.0003987935685012,0.0004368470446387,2.7037305652804747e-10,4.0288583764810153e-10,6.165959447880717e-10,-1.4110779218668425e-08,-7.98112114533369e-09,-3.9966268075375116e-09,4.2222200708291e-09,7.56873072429908e-09,1.2630453283273741e-08,-0.0004182853117027,2.4999402869081024e-05,0.0002060910619189,0.0073684341813501,0.008364799210996,0.0132970444287755,4.862682908424177e-05,8.837247150950134e-05,0.0001788154826499,0.0068356805713847,0.0075994587363675,0.0098784510046243,0.0028389666519241,0.0028796522854522,0.0029217234887121,0.0035542713286259,0.00359102063392,0.0036319457974317,2.703730564094301e-10,4.028858375392912e-10,6.165959446687361e-10,-1.4110779218872738e-08,-7.981121145532452e-09,-3.996626807673917e-09,4.222220070777356e-09,7.568730724059258e-09,1.263045328302356e-08
