var,plev,plev_pa,plev_hpa,raw_min,raw_max,p01,p99,p05,p95
wind_speed,surface,,,0.00012337134103290737,20.054391860961914,0.23614552587270737,10.512960433959961,0.5724677443504333,8.71505355834961
wind_speed,50hPa,5000,50,8.75107798492536e-05,72.92562866210938,0.44295400321483613,48.935089111328125,1.1768447101116184,33.581661224365234
wind_speed,100hPa,10000,100,0.0002150493673980236,68.26566314697266,0.7909837961196899,42.06794357299805,1.895605206489563,32.000553131103516
wind_speed,150hPa,15000,150,9.89849868346937e-05,85.65371704101562,1.0265063047409058,45.69895935058594,2.387423276901245,36.22511291503906
wind_speed,200hPa,20000,200,0.0006944003398530185,98.60226440429688,1.0510584115982056,49.82270050048828,2.4334442615509033,38.59663391113281
wind_speed,250hPa,25000,250,0.00044483941746875644,95.6494369506836,1.0227485883235932,47.34794998168945,2.3663785457611084,37.06400680541992
wind_speed,300hPa,30000,300,0.00036387311411090195,86.40254211425781,0.911673903465271,42.49123001098633,2.1196446418762207,33.74156188964844
wind_speed,400hPa,40000,400,0.00010918211046373472,66.08767700195312,0.6579551696777344,34.19246292114258,1.5602771043777466,27.5083333015441
wind_speed,500hPa,50000,500,0.00012465682812035084,50.83617401123047,0.5578252071142197,28.584028244018555,1.324908971786499,23.0350341796875
wind_speed,600hPa,60000,600,0.00011419302609283477,38.29897689819336,0.5099062919616699,24.284038543701172,1.2131186723709106,19.55109214782715
wind_speed,700hPa,70000,700,7.301796722458676e-05,31.117748260498047,0.46226894825696946,20.84943962097168,1.1265901327133179,16.735897064208984
wind_speed,850hPa,85000,850,0.00018292629101779312,31.269142150878906,0.3755692833662033,17.17448616027832,0.9400888085365295,13.645817756652832
wind_speed,925hPa,92500,925,0.00012618968321476132,31.884496688842773,0.31262838780879976,15.807861328125,0.8025989532470703,12.47900676727295
wind_speed,1000hPa,100000,1000,0.00010436503362143412,22.670473098754883,0.22424651622772218,11.30408000946045,0.5587307214736938,9.52064323425293
wind_speed,total,,,7.301796722458676e-05,98.60226440429688,0.22424651622772218,49.82270050048828,0.5587307214736938,38.59663391113281
