var,plev,plev_pa,plev_hpa,raw_min,raw_max,p01,p99,p05,p95
wind_speed,surface,,,-15.988615989685059,16.504892349243164,-4.691958427429199,4.826068878173828,-2.991891860961914,2.903200149536133
wind_speed,50hPa,5000,50,-61.69698715209961,54.324851989746094,-23.519107818603516,19.87569808959961,-12.804664611816406,12.404870986938477
wind_speed,100hPa,10000,100,-45.51567077636719,43.79264831542969,-15.345359811782837,15.561535844802847,-8.993022918701172,10.34683895111084
wind_speed,150hPa,15000,150,-57.00611877441406,58.584442138671875,-15.916975021362305,16.382123966217023,-10.042162895202637,10.8824462890625
wind_speed,200hPa,20000,200,-68.26536560058594,63.80488586425781,-17.499378204345703,17.627859115600586,-10.890745162963867,11.503082275390625
wind_speed,250hPa,25000,250,-70.39259338378906,65.66370391845703,-17.897872943878173,17.854076385498047,-11.250234603881836,11.545655250549316
wind_speed,300hPa,30000,300,-67.36808776855469,64.78709411621094,-16.957584400177,16.80706024169922,-10.762892723083496,10.78490924835205
wind_speed,400hPa,40000,400,-53.70228576660156,49.315162658691406,-14.116662034988403,13.970623989105206,-8.975303649902344,8.80311393737793
wind_speed,500hPa,50000,500,-41.928462982177734,37.94594192504883,-11.745396614074707,11.760875701904297,-7.42424201965332,7.344051361083984
wind_speed,600hPa,60000,600,-31.75565528869629,31.321483612060547,-9.938805589675903,10.085528373718262,-6.28864860534668,6.262108325958252
wind_speed,700hPa,70000,700,-26.610883712768555,26.054351806640625,-8.536018381118774,8.808052062988281,-5.3997578620910645,5.415785789489746
wind_speed,850hPa,85000,850,-24.240772247314453,25.371150970458984,-7.156671524047852,7.548749928474422,-4.4867448806762695,4.506650924682617
wind_speed,925hPa,92500,925,-23.151134490966797,25.788715362548828,-6.769904146194458,7.1799960184097245,-4.239409446716309,4.24945068359375
wind_speed,1000hPa,100000,1000,-16.1390438079834,19.998249053955078,-5.287990574836731,5.366434097290039,-3.366546869277954,3.273709297180176
wind_speed,total,,,-70.39259338378906,65.66370391845703,-23.519107818603516,19.87569808959961,-12.804664611816406,12.404870986938477
