var,plev,plev_pa,plev_hpa,raw_min,raw_max,p01,p99,p05,p95
wind_speed,surface,,,-14.562897682189941,16.504892349243164,-5.241402626037598,5.1239681291580155,-3.4790649533271787,3.1738586544990497
wind_speed,50hPa,5000,50,-61.69698715209961,51.43986511230469,-33.2235107421875,17.55072786331175,-19.57610321044922,11.189830827712996
wind_speed,100hPa,10000,100,-45.51567077636719,40.319969177246094,-20.71477128982544,14.969088582992526,-12.81494140625,9.77964406013487
wind_speed,150hPa,15000,150,-57.00611877441406,58.584442138671875,-19.541856784820556,17.37200357437132,-13.075496673583984,11.286213016509976
wind_speed,200hPa,20000,200,-68.26536560058594,63.80488586425781,-20.976966896057128,18.777181663513147,-13.641459465026855,12.180592584609968
wind_speed,250hPa,25000,250,-70.39259338378906,64.41519165039062,-20.993751525878906,19.10249900817871,-13.54781723022461,12.428496360778809
wind_speed,300hPa,30000,300,-67.36808776855469,60.44147872924805,-19.59599687576294,17.86461454391474,-12.70233826637268,11.53273301124571
wind_speed,400hPa,40000,400,-53.70228576660156,47.717952728271484,-16.095199604034423,14.674852380752554,-10.430155754089355,9.111987113952637
wind_speed,500hPa,50000,500,-41.928462982177734,37.678504943847656,-13.305382738113403,12.346047430038425,-8.539406824111937,7.558537054061873
wind_speed,600hPa,60000,600,-31.75565528869629,31.321483612060547,-11.19951153755188,10.560891151428223,-7.194074630737305,6.44914438724517
wind_speed,700hPa,70000,700,-26.259510040283203,26.054351806640625,-9.553955087661743,9.261183776855432,-6.170714426040648,5.6420392990112305
wind_speed,850hPa,85000,850,-23.03423309326172,25.371150970458984,-7.945245757102966,7.947680482864371,-5.09431266784668,4.7611837625503455
wind_speed,925hPa,92500,925,-23.151134490966797,25.788715362548828,-7.448081021308899,7.514156346321101,-4.8193292856216425,4.4852399826049805
wind_speed,1000hPa,100000,1000,-16.1390438079834,19.998249053955078,-5.8980431604385375,5.697218894958496,-3.8943541169166562,3.554347038269043
wind_speed,total,,,-70.39259338378906,64.41519165039062,-33.2235107421875,19.10249900817871,-19.57610321044922,12.428496360778809
