var,plev,plev_pa,plev_hpa,raw_min,raw_max,p01,p99,p05,p95
wind_speed,surface,,,-14.940406799316406,14.933040618896484,-4.394598007202148,4.672191143035889,-2.708665132522583,2.810091733932495
wind_speed,50hPa,5000,50,-46.91851806640625,54.324851989746094,-18.507431030273438,23.12670135498047,-10.996604919433594,14.237167358398438
wind_speed,100hPa,10000,100,-44.37066650390625,43.79264831542969,-12.676792163848877,16.644908924102765,-8.176383066177369,10.371894836425781
wind_speed,150hPa,15000,150,-44.68516540527344,43.11450958251953,-14.386760711669922,15.160786638259879,-9.300172805786133,9.900769233703613
wind_speed,200hPa,20000,200,-53.668514251708984,47.95683288574219,-16.163738269805908,16.29798698425293,-10.161337900161744,10.585784912109375
wind_speed,250hPa,25000,250,-56.65501403808594,54.474891662597656,-16.74271020889282,17.042221069335938,-10.569348335266113,10.973898935318005
wind_speed,300hPa,30000,300,-56.311607360839844,51.79773712158203,-16.071636199951172,16.27303695678711,-10.220558166503906,10.41136360168457
wind_speed,400hPa,40000,400,-46.53648376464844,42.694583892822266,-13.532173156738281,13.645154008865347,-8.624794006347656,8.604757308959961
wind_speed,500hPa,50000,500,-36.102394104003906,36.761844635009766,-11.299519548416137,11.515697498321515,-7.1501593589782715,7.220617341995251
wind_speed,600hPa,60000,600,-30.534137725830078,30.362977981567383,-9.545307168960571,9.866891860961914,-6.01335289478302,6.150272369384766
wind_speed,700hPa,70000,700,-26.610883712768555,24.473106384277344,-8.192646055221557,8.581561098098746,-5.123207092285156,5.287578582763672
wind_speed,850hPa,85000,850,-23.300861358642578,21.28052520751953,-6.804044723510742,7.337480545043945,-4.172257900238037,4.40437126159668
wind_speed,925hPa,92500,925,-22.999839782714844,22.981304168701172,-6.439064507484436,6.993384370803824,-3.9230334877967836,4.158292770385742
wind_speed,1000hPa,100000,1000,-15.01068115234375,16.35274314880371,-4.955502033233643,5.214322090148926,-3.0599939942359926,3.1800403594970703
wind_speed,total,,,-56.65501403808594,54.474891662597656,-18.507431030273438,23.12670135498047,-10.996604919433594,14.237167358398438
