var,plev,plev_pa,plev_hpa,raw_min,raw_max,p01,p99,p05,p95
wind_speed,surface,,,-15.988615989685059,14.43127727508545,-4.527351388931274,4.766191482543945,-2.922076463699341,2.8168754696846037
wind_speed,50hPa,5000,50,-49.94207000732422,47.57279586791992,-18.423213958740234,16.90048601150511,-10.660881996154785,11.373437881469727
wind_speed,100hPa,10000,100,-41.7640380859375,36.48921585083008,-12.484338760375977,14.911211967468262,-7.162686848640442,10.58864688873291
wind_speed,150hPa,15000,150,-45.559104919433594,49.07432174682617,-13.623624801635742,16.77904510498047,-8.626276016235352,11.50358772277832
wind_speed,200hPa,20000,200,-55.01070785522461,59.003780364990234,-15.590269107818603,18.029022216796875,-9.765552520751953,11.959924745559704
wind_speed,250hPa,25000,250,-60.63085174560547,65.66370391845703,-16.427318572998047,17.760332107543945,-10.430149173736574,11.562252044677734
wind_speed,300hPa,30000,300,-58.23567199707031,64.78709411621094,-15.673177719116211,16.6016902923584,-10.03925895690918,10.694774627685547
wind_speed,400hPa,40000,400,-45.676727294921875,49.315162658691406,-13.108877191543579,13.84233380317687,-8.365505266189576,8.817304611206055
wind_speed,500hPa,50000,500,-35.76303482055664,37.94594192504883,-10.986014375686645,11.63796620368953,-6.962854886054993,7.34227180480957
wind_speed,600hPa,60000,600,-30.27117919921875,30.835580825805664,-9.374557523727416,10.003507614135742,-5.94566011428833,6.264338493347168
wind_speed,700hPa,70000,700,-24.56521987915039,24.117830276489258,-8.104260444641113,8.74040795326232,-5.1438212394714355,5.408623218536377
wind_speed,850hPa,85000,850,-24.240772247314453,22.637279510498047,-6.900444030761719,7.500053405761719,-4.381858825683594,4.449109101295477
wind_speed,925hPa,92500,925,-23.047443389892578,24.62022590637207,-6.5569529676437375,7.148896217346191,-4.1463847160339355,4.1914272546768245
wind_speed,1000hPa,100000,1000,-15.642091751098633,16.317880630493164,-5.1060357093811035,5.28643798828125,-3.2948007583618164,3.183793544769287
wind_speed,total,,,-60.63085174560547,65.66370391845703,-18.423213958740234,18.029022216796875,-10.660881996154785,11.959924745559704
